NodeID: 0
 nr   logfactor           convergence         gas_val_u                   gas_res             logI                        I.eq                pH                          chargebalance       CO3-2.logact                CO3-2.tot           Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot            
                                                                          0.0                                             0.0                                             0.0                                             1.00000005e-3                                  -9.99999978e-3                                   2.00000009e-3      
 300  0                   25.8747             1.00000066               X -7.24669703e12      -2.57713978               X -9.99999995e-1       1.00000000               X -1.16466139e6       -3.28687736               X  7.49452142e12      -13.3782447               X  4.42903765e-14     -2.72352403                  2.00000009e-3      
 300  0                   25.0747             9.99999356e-1            X -1.14852408e12      -2.07713978               X -9.99999890e-1       9.00000000e-1            X -1.52160555e5       -4.28687736               X  1.18780007e12      -14.3782447               X  4.60500575e-15     -3.72352403               X  2.07946119e-4      
 300  0                   24.2747             9.99999252e-1            X -1.82028799e11      -1.57713978               X -9.99997386e-1       8.00000000e-1            X -2.02557403e4       -5.28687736               X  1.88253601e11      -15.3782447               X  4.88741703e-16     -4.72352403               X  2.20698836e-5      
 300  -4.98211            24.275              9.99999252e-1            X -1.82123324e11      -1.07713978               X -9.99990362e-1       7.00000000e-1            X -1.73737179e4       -5.48665190               X  1.88351355e11      -16.3782447               X  5.28936153e-17     -4.82949579               X  1.87133757e-5      
 300  -0.301026           23.1151             1.09999925               X -1.14912049e10      -5.77139779e-1            X -9.99649855e-1       8.00000000e-1            X -1.51188369e3       -6.48665190               X  1.30332880e10      -16.3832447               X  5.61719509e-17     -4.82850514               X  2.01492596e-5      
 300  -4.17952            21.9518             1.19999925               X -7.25046011e8       -5.77073659e-1            X -9.95596955e-1       9.00000000e-1            X -1.19940863e2       -7.48665190               X  8.94849503e8       -16.3832454               X  5.61721940e-17     -4.82850501               X  2.01493836e-5      
 300  -3.07897            20.7856             1.29999925               X -4.57473103e7       -5.76243586e-1            X -9.45172846e-1       1.00000000               X -9.40653642         -8.48665190               X  6.10359197e7       -16.3832537               X  5.61752337e-17     -4.82850336               X  2.01509373e-5      
 300  -1.97343            19.617              1.39999925               X -2.88645976e6       -5.66195543e-1            X -3.73928459e-1       1.10000000               X -6.51465608e-1      -9.48665190               X  4.13975235e6       -16.3833600               X  5.62101541e-17     -4.82848231               X  2.01693777e-5      
 300  -0.813891           18.4462             1.49999925               X -1.82122824e5       -5.08797508e-1            X  3.21326607          1.20000000               X  2.51279680e-2      -10.4866519               X  2.79413061e5       -16.3848950               X  5.62441317e-17     -4.82817841               X  2.02672042e-5      
 300  -0.807977           17.4815             1.59999925               X -1.85426408e4       -1.00879751               X  1.25255979          1.19608996               X  7.57879315e-2      -11.4866519               X  3.03033083e4       -16.3864511               X  5.24988071e-17     -4.82787035               X  1.89989748e-5      
 300  -4.48149            16.5073             1.69999925               X -1.85364544e3       -1.00883884               X  1.39109545          1.19608746               X  8.08366005e-2      -12.4866519               X  3.21580027e3       -16.3864514               X  5.24984070e-17     -4.82787029               X  1.89988473e-5      
 300  -4.26803            16.3582             1.79999925               X -1.24289597e3       -1.00891389               X  1.39608903          1.19608310               X  8.10211446e-2      -12.6601370               X  2.28118341e3       -16.3864520               X  5.24976878e-17     -4.82787018               X  1.89986153e-5      
 300  -4.09443            16.1977             1.89999925               X -8.14160015e2       -1.00902621               X  1.39928284          1.19607658               X  8.11505239e-2      -12.8436747               X  1.57648662e3       -16.3864528               X  5.24966116e-17     -4.82787002               X  1.89982680e-5      
 300  -3.91071            16.026              1.99999925               X -5.20886587e2       -1.00919808               X  1.40095517          1.19606662               X  8.12387626e-2      -13.0373081               X  1.06162012e3       -16.3864540               X  5.24949654e-17     -4.82786978               X  1.89977366e-5      
 300  -3.71674            15.843              2.09999925               X -3.25335435e2       -1.00946704               X  1.40123065          1.19605102               X  8.12971797e-2      -13.2411181               X  6.96677520e2       -16.3864559               X  5.24923895e-17     -4.82786940               X  1.89969050e-5      
