pH                       	pressure                 	Cl-.tot                  	HCO3-.con                	CO3-2.con                	Na+.con                  	Na+.tot                  	CO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 13.5364484              	 1.00000000              	 1.02040816e-1           	 3.70020235e-5           	 9.99629979e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.97996186e-1           	 0.0                     	-10.3340907              	-11.8000907              	-4.61564227              	-1.40819388              	 1.11111111e-111         	 4.63350185e-11          	 1.11111111e-111         	 1.11111111e-111         	 4.63350185e-11          	 3.70020235e-5           	 9.99629979e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5213692              	 1.00000000              	 1.22448980e-1           	 3.83087929e-5           	 9.99616912e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.77589329e-1           	 0.0                     	-10.3039384              	-11.7699384              	-4.60056923              	-1.40820003              	 1.11111111e-111         	 4.96662715e-11          	 1.11111111e-111         	 1.11111111e-111         	 4.96662715e-11          	 3.83087929e-5           	 9.99616912e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5057476              	 1.00000000              	 1.42857143e-1           	 3.97112347e-5           	 9.99602887e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.57182568e-1           	 0.0                     	-10.2727019              	-11.7387019              	-4.58495427              	-1.40820662              	 1.11111111e-111         	 5.33701090e-11          	 1.11111111e-111         	 1.11111111e-111         	 5.33701090e-11          	 3.97112347e-5           	 9.99602887e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4895432              	 1.00000000              	 1.63265306e-1           	 4.12202539e-5           	 9.99587797e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.36775914e-1           	 0.0                     	-10.2403002              	-11.7063002              	-4.56875694              	-1.40821372              	 1.11111111e-111         	 5.75042350e-11          	 1.11111111e-111         	 1.11111111e-111         	 5.75042350e-11          	 4.12202539e-5           	 9.99587797e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4727108              	 1.00000000              	 1.83673469e-1           	 4.28484783e-5           	 9.99571515e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.16369379e-1           	 0.0                     	-10.2066429              	-11.6726429              	-4.55193215              	-1.40822137              	 1.11111111e-111         	 6.21379719e-11          	 1.11111111e-111         	 1.11111111e-111         	 6.21379719e-11          	 4.28484783e-5           	 9.99571515e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4551997              	 1.00000000              	 2.04081633e-1           	 4.46106122e-5           	 9.99553893e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.95962978e-1           	 0.0                     	-10.1716290              	-11.6376290              	-4.53442931              	-1.40822966              	 1.11111111e-111         	 6.73551856e-11          	 1.11111111e-111         	 1.11111111e-111         	 6.73551856e-11          	 4.46106122e-5           	 9.99553893e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4369528              	 1.00000000              	 2.24489796e-1           	 4.65238821e-5           	 9.99534760e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.75556728e-1           	 0.0                     	-10.1351443              	-11.6011443              	-4.51619148              	-1.40823865              	 1.11111111e-111         	 7.32581062e-11          	 1.11111111e-111         	 1.11111111e-111         	 7.32581062e-11          	 4.65238821e-5           	 9.99534760e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4179058              	 1.00000000              	 2.44897959e-1           	 4.86086012e-5           	 9.99513913e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.55150650e-1           	 0.0                     	-10.0970600              	-11.5630600              	-4.49715424              	-1.40824846              	 1.11111111e-111         	 7.99723728e-11          	 1.11111111e-111         	 1.11111111e-111         	 7.99723728e-11          	 4.86086012e-5           	 9.99513913e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3979851              	 1.00000000              	 2.65306122e-1           	 5.08888931e-5           	 9.99491110e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.34744767e-1           	 0.0                     	-10.0572294              	-11.5232294              	-4.47724428              	-1.40825918              	 1.11111111e-111         	 8.76537733e-11          	 1.11111111e-111         	 1.11111111e-111         	 8.76537733e-11          	 5.08888931e-5           	 9.99491110e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3771068              	 1.00000000              	 2.85714286e-1           	 5.33936292e-5           	 9.99466063e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.14339108e-1           	 0.0                     	-10.0154846              	-11.4814846              	-4.45637776              	-1.40827096              	 1.11111111e-111         	 9.64973604e-11          	 1.11111111e-111         	 1.11111111e-111         	 9.64973604e-11          	 5.33936292e-5           	 9.99466063e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
