@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	Ca.tot                   	CO2[g].tot               	chargebalance            	CO2[g].diss              	CO2[g].logact            	Calcite[s].si            	Ca.logact                	Ca.tot                   	H.tot                    	H2O.logact               	I                        	Node_ID                  	T                        	dummy                    	minTol                   	pH                       	pe                       	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.11022302e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.55431223e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.99840144e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.55431223e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-8.88178420e-16          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 2.66453526e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.33226763e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482043e-5           	-6.11283874              	-6.66133815e-16          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482043e-5           	-6.11283874              	-4.21884749e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.99840144e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.55431223e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.55431223e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-8.88178420e-16          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 4.44089210e-16          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.99840144e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.11022302e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482043e-5           	-6.11283874              	 3.55271368e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482043e-5           	-6.11283874              	 8.88178420e-16          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	 1.55431223e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.77635684e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
Data:	 8.39142187              	 2.00000000e-1           	 1.00000000e-1           	 2.00000000e-1           	 1.20482042e-5           	-6.11283874              	-1.99840144e-15          	-1.00000501              	 2.00000000e-1           	-2.00000000e-1           	 0.0                     	 0.0                     	 0.0                     	 2.98150000e2            	-5.00000000              	 0.0                     	 8.39142187              	 7.00000000              	
