gas_type                 	pressure                 	gasvolume                	watervolume              	fixed_logact_CO2         	CO2[g].tot               	CO2[g].logact            	CO2g[s].si               	Ar[g].con                	Ar[g].gas                	Ar[g].logact             	Ar[g].tot                	CO2[g].logact            	CO2[g].con               	CO2[g].gas               	CO2[g].tot               	CO2[g].diss              	C.tot                    	gas_u                    	gas_res                  	CO2[g].tot               	CO2[g].con               	Ar[g].tot                	Ar[g].con                	CO2[g].diss              	CO2[g].liter             	I                        	H2CO3.con                	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 1.00000000              	 1.00000000              	 1.00000000              	 1.00000000              	-3.35000000              	 7.50000000e-3           	-11.0198582              	-7.66985818              	 1.00000000              	 1.00000000              	-4.14883780e-12          	 1.00000000              	-11.0198582              	 9.55304486e-12          	 9.55304486e-12          	 7.50000000e-3           	 8.25783681e-6           	 0.0                     	 1.11111111e-111         	 0.0                     	 7.50000000e-3           	 9.55304486e-12          	 1.00000000              	 1.00000000              	 8.25783681e-6           	 7.50000000e-3           	 7.12391564e-3           	 3.26694496e-13          	 8.67992606e-8           	 2.92035061e-6           	 8.25783681e-6           	 7.49999999e-3           	 2.50825785e-3           	 1.00000000e-2           	 2.50825785e-3           	 7.49174215e-3           	 7.49174215e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00000052              	 1.00000000              	-3.35000000              	 1.00000000e-2           	-6.28410627              	-2.93410627              	 9.99999480e-1           	 9.99999480e-1           	-2.25776196e-7           	 1.00000000              	-6.28410627              	 5.19868768e-7           	 5.19868768e-7           	 1.00000000e-2           	 1.16476573e-4           	 0.0                     	 1.11111111e-111         	 0.0                     	 1.00000000e-2           	 5.19868768e-7           	 1.00000000              	 9.99999480e-1           	 1.16476573e-4           	 1.00000000e-2           	 3.70017248e-4           	 1.77784432e-8           	 7.56157546e-5           	 3.54513435e-5           	 1.16476573e-4           	 9.99948013e-3           	 1.16996442e-4           	 1.00000000e-2           	 1.16996442e-4           	 9.88300356e-3           	 9.88300356e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 1.25000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 1.25000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 1.25000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 1.25000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 1.50000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 1.50000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 1.50000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 1.50000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 1.75000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 1.75000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 1.75000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 1.75000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 2.00000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 2.00000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 2.00000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 2.00000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 2.25000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 2.25000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 2.25000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 2.25000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 2.50000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 2.50000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 2.50000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 2.50000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 2.75000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 2.75000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 2.75000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 2.75000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 3.00000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 3.00000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 3.00000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 3.00000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 3.25000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 3.25000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 3.25000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 3.25000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 3.50000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 3.50000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 3.50000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 3.50000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 3.75000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 3.75000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 3.75000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 3.75000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 4.00000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 4.00000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 4.00000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 4.00000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 4.25000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 4.25000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 4.25000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 4.25000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 4.50000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 4.50000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 4.50000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 4.50000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 4.75000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 4.75000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 4.75000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 4.75000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
 1.00000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 5.00000000e-2           	-3.35000000              	 0.0                     	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 5.00000000e-2           	 1.11422615e-3           	 0.0                     	 1.11111111e-111         	 0.0                     	 5.00000000e-2           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 1.11422615e-3           	 5.00000000e-2           	 1.64620141e-3           	 1.52756606e-5           	 1.07587144e-3           	 8.75893585e-6           	 1.11422615e-3           	 1.05571086e-2           	 5.57117566e-4           	 1.00000000e-2           	 5.57117566e-4           	 9.44288243e-3           	 9.44288243e-3           	 0.0                     	
