pH                       	pressure                 	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 8.00000000              	 1.00069923              	-3.15538146              	-4.62138146              	-2.97338146              	-5.30238146              	-3.17761854              	 6.99716489e-4           	 0.0                     	 9.99911606              	 6.99716489e-4           	 1.13386496e-3           	 6.48760480e-6           	 1.18422630e-3           	 10.0010000              	 8.83942793e-4           	 10.0000000              	 8.83942793e-4           	 9.99911606              	 9.99911606              	 0.0                     	
 8.50000000              	 1.00020639              	-3.68531269              	-5.15131269              	-3.00331269              	-4.83231269              	-3.64768731              	 2.06431957e-4           	 4.44089210e-16          	 9.99971054              	 2.06431957e-4           	 1.04678214e-3           	 1.82913530e-5           	 1.08303128e-3           	 10.0010000              	 2.89463235e-4           	 10.0000000              	 2.89463235e-4           	 9.99971054              	 9.99971054              	 0.0                     	
 9.00000000              	 1.00006089              	-4.21546640              	-5.68146640              	-3.03346640              	-4.36246640              	-4.11753360              	 6.08919727e-5           	 0.0                     	 9.99989908              	 6.08919727e-5           	 9.75127659e-4           	 5.36325552e-5           	 1.04002421e-3           	 10.0010000              	 1.00916187e-4           	 10.0000000              	 1.00916187e-4           	 9.99989908              	 9.99989908              	 0.0                     	
 9.50000000              	 1.00001696              	-4.77050077              	-6.23650077              	-3.08850077              	-3.91750077              	-4.56249923              	 1.69631535e-5           	 8.88178420e-16          	 9.99996025              	 1.69631535e-5           	 8.60324321e-4           	 1.50325517e-4           	 1.02278526e-3           	 10.0010000              	 3.97484090e-5           	 10.0000000              	 3.97484090e-5           	 9.99996025              	 9.99996025              	 0.0                     	
 10.0000000              	 1.00000397              	-5.40174140              	-6.86774140              	-3.21974140              	-3.54874140              	-4.93125860              	 3.96515637e-6           	 0.0                     	 9.99997975              	 3.96515637e-6           	 6.38797114e-4           	 3.57991146e-4           	 1.01628442e-3           	 10.0010000              	 2.02495770e-5           	 10.0000000              	 2.02495770e-5           	 9.99997975              	 9.99997975              	 0.0                     	
 10.5000000              	 1.00000068              	-6.16720876              	-7.63320876              	-3.48520876              	-3.31420876              	-5.16579124              	 6.80442663e-7           	 0.0                     	 9.99998577              	 6.80442663e-7           	 3.48941353e-4           	 6.31442925e-4           	 1.01354511e-3           	 10.0010000              	 1.42255525e-5           	 10.0000000              	 1.42255525e-5           	 9.99998577              	 9.99998577              	 0.0                     	
 11.0000000              	 1.00000009              	-7.06761903              	-8.53361903              	-3.88561903              	-3.21461903              	-5.26538097              	 8.55817188e-8           	 0.0                     	 9.99998731              	 8.55817188e-8           	 1.39930615e-4           	 8.22042786e-4           	 1.01260740e-3           	 10.0010000              	 1.26929844e-5           	 10.0000000              	 1.26929844e-5           	 9.99998731              	 9.99998731              	 0.0                     	
 11.5000000              	 1.00000001              	-8.06140973              	-9.52740973              	-4.37940973              	-3.20840973              	-5.27159027              	 8.68141005e-9           	 0.0                     	 9.99998670              	 8.68141005e-9           	 4.55620499e-5           	 8.88043320e-4           	 1.01329260e-3           	 10.0010000              	 1.33012777e-5           	 10.0000000              	 1.33012777e-5           	 9.99998670              	 9.99998670              	 0.0                     	
 12.0000000              	 1.00000000              	-9.13410631              	-10.6001063              	-4.95210631              	-3.28110631              	-5.19889369              	 7.34334095e-10          	-8.88178420e-16          	 9.99998294              	 7.34334095e-10          	 1.25788164e-5           	 8.59300023e-4           	 1.01706101e-3           	 10.0010000              	 1.70617405e-5           	 10.0000000              	 1.70617405e-5           	 9.99998294              	 9.99998294              	 0.0                     	
 12.5000000              	 1.00000000              	-10.3009005              	-11.7669005              	-5.61890051              	-3.44790051              	-5.03209949              	 5.00149096e-11          	 0.0                     	 9.99996822              	 5.00149096e-11          	 2.87125119e-6           	 7.49383051e-4           	 1.03177853e-3           	 10.0010000              	 3.17785790e-5           	 10.0000000              	 3.17785790e-5           	 9.99996822              	 9.99996822              	 0.0                     	
 13.0000000              	 1.00000000              	-11.5581273              	-13.0241273              	-6.37612727              	-3.70512727              	-4.77487273              	 2.76613093e-12          	 0.0                     	 9.99990170              	 2.76613093e-12          	 5.47924976e-7           	 5.82327572e-4           	 1.09830194e-3           	 10.0010000              	 9.83019476e-5           	 10.0000000              	 9.83019476e-5           	 9.99990170              	 9.99990170              	 0.0                     	
