 pH                      	 pressure                	 gasvolume               	 gas_u                   	 gas_res                 	 CO2[g].tot              	 CO2[g].con              	 Ar[g].tot               	 Ar[g].con               	 pressure                	 gasvolume               	 CO2[g].diss             	 CO2[g].liter            	 Calcite[s].si           	 I                       	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 CO3-2.diss              	 CO3-2.tot               	 Ca+2.diss               	 Ca+2.tot                	 Ca+2.diss               	 Calcite[s].tot          	 Calcite[s].con          	 Aragonite[s].con        	
 3.79471032              	 1.75134419              	 2.00000000              	 2.00001000              	 1.00000000              	 4.50000000e-1           	 1.70771268              	 1.00000000e-2           	 4.36315079e-2           	 1.75134419              	 2.00000000              	 5.86056241e-2           	 4.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 5.84002630e-2           	 2.05361032e-4           	 1.26984791e-10          	 5.86056241e-2           	 5.86056241e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.68598379              	 2.88737422              	 2.00000000              	 2.00001000              	 1.00000000              	 5.00000000e-1           	 2.81752672              	 1.00000000e-2           	 6.98475031e-2           	 2.88737422              	 2.00000000              	 9.66174035e-2           	 5.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 9.63536216e-2           	 2.63781754e-4           	 1.26984846e-10          	 9.66174035e-2           	 9.66174035e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.75669594              	 2.07680031              	 2.00000000              	 2.00001000              	 1.00000000              	 5.50000000e-1           	 2.03443412              	 1.00000000e-2           	 4.23661809e-2           	 2.07680031              	 2.00000000              	 6.97976117e-2           	 5.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 6.95734648e-2           	 2.24146772e-4           	 1.26984812e-10          	 6.97976117e-2           	 6.97976117e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.67672544              	 2.99915503              	 2.00000000              	 2.00001000              	 1.00000000              	 6.00000000e-1           	 2.94025335              	 1.00000000e-2           	 5.89016759e-2           	 2.99915503              	 2.00000000              	 1.00820086e-1           	 6.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.00550620e-1           	 2.69465465e-4           	 1.26984850e-10          	 1.00820086e-1           	 1.00820086e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.72763350              	 2.36656676              	 2.00000000              	 2.00001000              	 1.00000000              	 6.50000000e-1           	 2.32577959              	 1.00000000e-2           	 4.07871608e-2           	 2.36656676              	 2.00000000              	 7.97765407e-2           	 6.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 7.95368809e-2           	 2.39659681e-4           	 1.26984827e-10          	 7.97765407e-2           	 7.97765407e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.66709790              	 3.12523667              	 2.00000000              	 2.00001000              	 1.00000000              	 7.00000000e-1           	 3.07354701              	 1.00000000e-2           	 5.16896547e-2           	 3.12523667              	 2.00000000              	 1.05384495e-1           	 7.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.05108989e-1           	 2.75505754e-4           	 1.26984853e-10          	 1.05384495e-1           	 1.05384495e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.70441969              	 2.62733210              	 2.00000000              	 2.00001000              	 1.00000000              	 7.50000000e-1           	 2.58819042              	 1.00000000e-2           	 3.91416816e-2           	 2.62733210              	 2.00000000              	 8.87636103e-2           	 7.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 8.85107917e-2           	 2.52818488e-4           	 1.26984838e-10          	 8.87636103e-2           	 8.87636103e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.65752920              	 3.25857224              	 2.00000000              	 2.00001000              	 1.00000000              	 8.00000000e-1           	 3.21201283              	 1.00000000e-2           	 4.65594046e-2           	 3.25857224              	 2.00000000              	 1.10125879e-1           	 8.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.09844236e-1           	 2.81643275e-4           	 1.26984857e-10          	 1.10125879e-1           	 1.10125879e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.68525590              	 2.86452716              	 2.00000000              	 2.00001000              	 1.00000000              	 8.50000000e-1           	 2.82698710              	 1.00000000e-2           	 3.75400665e-2           	 2.86452716              	 2.00000000              	 9.69413715e-2           	 8.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 9.66771472e-2           	 2.64224232e-4           	 1.26984846e-10          	 9.69413715e-2           	 9.69413715e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.64823103              	 3.39524134              	 2.00000000              	 2.00001000              	 1.00000000              	 9.00000000e-1           	 3.35253725              	 1.00000000e-2           	 4.27040874e-2           	 3.39524134              	 2.00000000              	 1.14937620e-1           	 9.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.14649882e-1           	 2.87738227e-4           	 1.26984861e-10          	 1.14937620e-1           	 1.14937620e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.66902365              	 3.08243888              	 2.00000000              	 2.00001000              	 1.00000000              	 9.50000000e-1           	 3.04640992              	 1.00000000e-2           	 3.60289612e-2           	 3.08243888              	 2.00000000              	 1.04455244e-1           	 9.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.04180957e-1           	 2.74286803e-4           	 1.26984853e-10          	 1.04455244e-1           	 1.04455244e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.63930236              	 3.53294561              	 2.00000000              	 2.00001000              	 1.00000000              	 1.00000000              	 3.49326047              	 1.00000000e-2           	 3.96851399e-2           	 3.53294561              	 2.00000000              	 1.19756042e-1           	 1.00000000              	 1.11111111e-111         	 1.00000000e-1           	 1.19462327e-1           	 2.93715081e-4           	 1.26984864e-10          	 1.19756042e-1           	 1.19756042e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
