pH                       	pressure                 	gasvolume                	watervolume              	Ar[g].con                	Ar[g].gas                	Ar[g].logact             	Ar[g].tot                	CO2[g].logact            	CO2[g].con               	CO2[g].gas               	CO2[g].tot               	CO2[g].diss              	C.tot                    	gas_u                    	gas_res                  	CO2[g].tot               	CO2[g].con               	Ar[g].tot                	Ar[g].con                	CO2[g].diss              	CO2[g].liter             	I                        	H2CO3.con                	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 5.59372430              	 1.00000000e-1           	 1.00000000              	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 1.00000000              	-3.37000000              	 4.26579519e-4           	 4.26579519e-4           	 4.43717690e-4           	 1.71381709e-5           	 0.0                     	 1.11111111e-111         	-9.00426580e-1           	 4.43717690e-4           	 4.26579519e-4           	 1.00000000              	 1.00000000              	 1.71381709e-5           	 4.43717690e-4           	 2.55327153e-6           	 1.45881426e-5           	 2.54998111e-6           	 4.71738915e-11          	 1.71381709e-5           	 1.71381709e-5           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 5.59372430              	 1.00000000e-1           	 1.00000000              	 1.00000000e-3           	 1.00000000              	 1.00000000              	 0.0                     	 1.00000000              	-3.37000000              	 4.26579519e-4           	 4.26579519e-4           	 4.26596657e-4           	 1.71381709e-5           	 0.0                     	 1.11111111e-111         	-9.00426580e-1           	 4.26596657e-4           	 4.26579519e-4           	 1.00000000              	 1.00000000              	 1.71381709e-5           	 4.26596657e-1           	 2.55327153e-6           	 1.45881426e-5           	 2.54998111e-6           	 4.71738915e-11          	 1.71381709e-5           	 1.71381709e-8           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.55954637              	 1.00000000e-1           	 1.00000000              	 1.00000000              	 1.00000000e-10          	 1.00000000e-10          	-10.0000000              	 1.00000000e-10          	 6.98970000e-1           	 4.99999995              	 4.99999995              	 5.17127074              	 1.71270793e-1           	 0.0                     	 1.11111111e-111         	-4.89999995              	 5.17127074              	 4.99999995              	 1.00000000e-10          	 1.00000000e-10          	 1.71270793e-1           	 5.17127074              	 2.81073797e-4           	 1.70989720e-1           	 2.81073645e-4           	 5.06441808e-11          	 1.71270793e-1           	 1.71270793e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
