NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                            -5.00000000                                      2.00000003e-1                                   1.00000001e-1      
 300  -0.69897            13.699             -7.93940113e-1            X -1.60698753e-2       1.30738673               X  2.01699683e-1      -42.0042364               X  1.30956355e-42     -8.22913572e-1            X  1.98815122e-1      -7.19271704               X  3.96129646e-1      
 300  -0.69897            13.699             -7.90726138e-1            X -2.04635982e-2       1.26704679               X  2.10916421e-1      -43.0042364               X  1.31017629e-43     -8.22676596e-1            X  1.99016713e-1      -7.25194297               X  4.10396809e-1      
 300  -0.69897            13.699             -7.86633419e-1            X -2.55294999e-2       1.22486351               X  2.21121372e-1      -44.0042364               X  1.31095371e-44     -8.22479938e-1            X  1.99224997e-1      -7.31402233               X  4.26214157e-1      
 300  -0.69897            13.699             -7.81527519e-1            X -3.14367901e-2       1.18063924               X  2.32526791e-1      -45.0042364               X  1.31191899e-45     -8.22324936e-1            X  1.99442859e-1      -7.37926517               X  4.43812201e-1      
 300  -0.69897            13.699             -7.75240161e-1            X -3.83863387e-2       1.13413388               X  2.45405445e-1      -46.0042364               X  1.31310041e-46     -8.22213508e-1            X  1.99673687e-1      -7.44802761               X  4.63495989e-1      
 300  -0.69897            13.699             -7.67562893e-1            X -4.66225201e-2       1.08505279               X  2.60115161e-1      -47.0042364               X  1.31453180e-47     -8.22148245e-1            X  1.99921389e-1      -7.52072680               X  4.85671956e-1      
 300  -0.69897            13.699             -7.58238389e-1            X -5.64491997e-2       1.03302976               X  2.77135559e-1      -48.0042364               X  1.31625302e-48     -8.22132522e-1            X  2.00190410e-1      -7.59786119               X  5.10888468e-1      
 300  -0.69897            13.699             -7.46948549e-1            X -6.82520642e-2       9.77602645e-1            X  2.97124736e-1      -49.0042364               X  1.31831035e-49     -8.22170603e-1            X  2.00485730e-1      -7.68003889               X  5.39898441e-1      
 300  -0.69897            13.699             -7.33298136e-1            X -8.25307391e-2       9.18177698e-1            X  3.21009766e-1      -50.0042364               X  1.32075639e-50     -8.22267749e-1            X  2.00812795e-1      -7.76801858               X  5.73758993e-1      
 300  -0.69897            13.699             -7.16791988e-1            X -9.99462490e-2       8.53975744e-1            X  3.50137009e-1      -51.0042364               X  1.32364920e-51     -8.22430307e-1            X  2.01177314e-1      -7.86277037               X  6.13995903e-1      
