// The column headers in this file can be edited and determine the output for the next run.
Var: 	failed                   	gas_type                 	tot_nr_iter              	gas.gas                  	gas.logact               	H2O[g].con               	CO2[g].con               	tot_nr_iter              	molargasvolume           	pH                       	gas_val_u                	gasvolume                	gas_type                 	gas_res                  	gasvolume                	pressure                 	pressure_calc            	CO2[g].con               	C.gas                    	C.liter                  	C.tot                    	C.gas                    	CO2.con                  	CO3-2.con                	HCO3-.con                	
Data:	 0.0                     	 0.0                     	 7.00000000              	 3.81169367              	 0.0                     	 3.14902852e-2           	 3.78020339              	 7.00000000              	 6.50343065              	 1.00000000              	 3.81169367              	 6.38793515e-1           	 0.0                     	 0.0                     	 6.38793515e-1           	 3.81169367              	 1.11111111e-111         	 3.78020339              	 3.78020339              	 1.28692987e-1           	 5.00000000e-1           	 3.78020339              	 1.28089983e-1           	 5.91668405e-16          	 6.95486038e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 4.25902898              	 0.0                     	 3.14820959e-2           	 4.22754688              	 7.00000000              	 5.82036083              	 1.00000000              	 4.25902898              	 4.90127419e-1           	 0.0                     	 0.0                     	 4.90127419e-1           	 4.25902898              	 1.11111111e-111         	 4.22754688              	 4.22754688              	 1.44002030e-1           	 5.00000000e-1           	 4.22754688              	 1.43247956e-1           	 6.61513598e-16          	 7.77586561e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 4.74528820              	 0.0                     	 3.14731888e-2           	 4.71381501              	 7.00000000              	 5.22393675              	 1.00000000              	 4.74528820              	 3.76060309e-1           	 0.0                     	 0.0                     	 3.76060309e-1           	 4.74528820              	 1.11111111e-111         	 4.71381501              	 4.71381501              	 1.60662291e-1           	 5.00000000e-1           	 4.71381501              	 1.59724867e-1           	 7.37394823e-16          	 8.66782197e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 5.26997874              	 0.0                     	 3.14635717e-2           	 5.23851517              	 7.00000000              	 4.70383026              	 1.00000000              	 5.26997874              	 2.88539981e-1           	 0.0                     	 0.0                     	 2.88539981e-1           	 5.26997874              	 1.11111111e-111         	 5.23851517              	 5.23851517              	 1.78661647e-1           	 5.00000000e-1           	 5.23851517              	 1.77504025e-1           	 8.19224880e-16          	 9.62970435e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 5.83136323              	 0.0                     	 3.14532752e-2           	 5.79990996              	 7.00000000              	 4.25099320              	 1.00000000              	 5.83136323              	 2.21388215e-1           	 0.0                     	 0.0                     	 2.21388215e-1           	 5.83136323              	 1.11111111e-111         	 5.79990996              	 5.79990996              	 1.97945479e-1           	 5.00000000e-1           	 5.79990996              	 1.96526559e-1           	 9.06721977e-16          	 1.06582004e-6           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 6.42620218              	 0.0                     	 3.14423573e-2           	 6.39475982              	 7.00000000              	 3.85750164              	 1.00000000              	 6.42620218              	 1.69864646e-1           	 0.0                     	 0.0                     	 1.69864646e-1           	 6.42620218              	 1.11111111e-111         	 6.39475982              	 6.39475982              	 2.18407478e-1           	 5.00000000e-1           	 6.39475982              	 2.16682699e-1           	 9.99370370e-16          	 1.17472475e-6           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 7.04953344              	 0.0                     	 3.14309078e-2           	 7.01810253              	 7.00000000              	 3.51641505              	 1.00000000              	 7.04953344              	 1.30332132e-1           	 0.0                     	 0.0                     	 1.30332132e-1           	 7.04953344              	 1.11111111e-111         	 7.01810253              	 7.01810253              	 2.39881597e-1           	 5.00000000e-1           	 7.01810253              	 2.37804303e-1           	 1.09638703e-15          	 1.28876415e-6           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 7.69453541              	 0.0                     	 3.14190509e-2           	 7.66311636              	 7.00000000              	 3.22164811              	 1.00000000              	 7.69453541              	 1.00000000e-1           	 0.0                     	 0.0                     	 1.00000000e-1           	 7.69453541              	 1.11111111e-111         	 7.66311636              	 7.66311636              	 2.62136767e-1           	 5.00000000e-1           	 7.66311636              	 2.59660220e-1           	 1.19670159e-15          	 1.40668005e-6           	
Data:	 0.0                     	 1.00000000              	 24.0000000              	 1.00000000e-1           	 0.0                     	 3.15580603e-2           	 6.84419397e-2           	 24.0000000              	 2.47890854e2            	 1.00000000              	 1.80255686e3            	 1.80255686e3            	 1.00000000              	 0.0                     	 1.80255686e3            	 1.00000000e-1           	 1.11111111e-111         	 6.84419397e-2           	 6.84419397e-2           	 2.31932519e-3           	 5.00000000e-1           	 6.84419397e-2           	 2.31911513e-3           	 1.07354065e-17          	 1.26191203e-8           	
Data:	 0.0                     	 1.00000000              	 16.0000000              	 1.46235057e-1           	 0.0                     	 3.15572179e-2           	 1.14677839e-1           	 16.0000000              	 1.69515340e2            	 1.00000000              	 7.33348933e2            	 7.33348933e2            	 1.00000000              	 0.0                     	 7.33348933e2            	 1.46235057e-1           	 1.11111111e-111         	 1.14677839e-1           	 1.14677839e-1           	 3.88636702e-3           	 5.00000000e-1           	 1.14677839e-1           	 3.88579157e-3           	 1.79872223e-17          	 2.11433931e-8           	
