Anhydrite[s].si          	Ar[g].logact             	Aragonite[s].si          	CO2[g].con               	CO2[g].logact            	CO3-2.con                	Ca+2.con                 	Ca+2.logact              	Ca+2.tot                 	Calcite[s].si            	Calcite[s].tot           	Calcite[s].un            	Cl-.logact               	Cl-.tot                  	Dolomite[s].si           	F-.logact                	F-.tot                   	Fluorite[s].si           	Gypsum[s].si             	H2O.logact               	HCO3-.con                	HCO3-.logact             	HCO3-.tot                	I                        	K+.logact                	K+.tot                   	Mg+2.logact              	Mg+2.tot                 	Na+.logact               	Na+.tot                  	Node_ID                  	SO4-2.logact             	SO4-2.tot                	T                        	chargebalance            	deltaSIcalcite           	gas_res                  	gas_val_u                	logI                     	minTol                   	pH                       	
-1.39056449              	 0.0                     	-1.95430787e-1           	 3.74892864e-3           	-2.42609283              	 3.94587108e-6           	 2.30963532e-3           	-2.82526625              	 3.04390000e-3           	-4.44089210e-16          	 2.83094637e-4           	 2.83094637e-4           	-3.98233279              	 1.16110000e-4           	-4.86580181e-1           	-4.50553482              	 3.68420000e-5           	-1.28467071              	-1.08774025              	-6.62831413e-5           	 2.36522322e-3           	-2.67168860              	 3.44150000e-3           	 1.17215359e-2           	-3.58626733              	 2.91560000e-4           	-3.31101129              	 8.76180000e-4           	-3.89402603              	 1.43480000e-4           	 1.00000000              	-2.87879958              	 2.56060000e-3           	 2.87550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01995767              	-1.93101548              	 0.0                     	 7.50424322              	
-1.40660838              	 0.0                     	 1.65468927e-2           	 1.73416044e-3           	-2.76091073              	 7.51116772e-6           	 2.60668382e-3           	-2.77532936              	 3.05000000e-3           	-2.65141145e-1           	 0.0                     	-1.32570572e-1           	-3.98362113              	 1.15940000e-4           	-2.52111624e-1           	-4.50084989              	 3.68420000e-5           	-1.14875348              	-1.02527041              	-7.22920348e-5           	 2.94432887e-3           	-2.57721508              	 3.44260000e-3           	 1.27078301e-2           	-3.58550066              	 2.92310000e-4           	-3.30231778              	 8.87500000e-4           	-3.89506321              	 1.43480000e-4           	 1.00000000              	-2.87583092              	 2.56250000e-3           	 2.73150000e2            	 0.0                     	 5.00000000e-1           	 0.0                     	 1.00787669              	-1.89592860              	 0.0                     	 7.82940579              	
-1.64590734              	 0.0                     	-1.87139630e-1           	 4.42605207e-3           	-2.35398348              	 4.33505242e-6           	 1.77089458e-3           	-2.92004202              	 2.55000000e-3           	-4.44089210e-16          	 5.12410470e-4           	 5.12410470e-4           	-4.06136463              	 9.56520000e-5           	-3.78612123e-1           	-4.64546289              	 2.63160000e-5           	-1.68706297              	-1.37151167              	-5.33873066e-5           	 2.46079535e-3           	-2.64963177              	 3.83610000e-3           	 8.80890298e-3           	-3.80317364              	 1.74360000e-4           	-3.36811838              	 7.08330000e-4           	-4.00838993              	 1.08700000e-4           	 1.00000000              	-3.06435098              	 1.56250000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02746476              	-2.05507817              	 0.0                     	 7.49191182              	
-1.60753778              	 0.0                     	-1.87139630e-1           	 4.79001936e-3           	-2.31966273              	 4.18705855e-6           	 1.85974263e-3           	-2.90186929              	 2.62500000e-3           	-8.88178420e-16          	 4.75364941e-4           	 4.75364941e-4           	-3.98959839              	 1.13040000e-4           	-3.99095604e-1           	-4.56717300              	 3.15790000e-5           	-1.51231047              	-1.33314679              	-5.57307531e-5           	 2.51117157e-3           	-2.64155894              	 3.91800000e-3           	 9.18127937e-3           	-3.77325422              	 1.87180000e-4           	-3.37042913              	 7.12500000e-4           	-3.94481376              	 1.26090000e-4           	 1.00000000              	-3.04415414              	 1.65630000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02782860              	-2.03709680              	 0.0                     	 7.46566625              	
-1.60033536              	 0.0                     	-1.87139630e-1           	 4.91162029e-3           	-2.30877521              	 4.11243690e-6           	 1.89465483e-3           	-2.89392577              	 2.65000000e-3           	-4.44089210e-16          	 4.60498051e-4           	 4.60498051e-4           	-4.00091890              	 1.10140000e-4           	-4.19986562e-1           	-4.56676878              	 3.15790000e-5           	-1.50355850              	-1.32594438              	-5.57338089e-5           	 2.51988029e-3           	-2.64008694              	 3.93440000e-3           	 9.19762913e-3           	-3.79776559              	 1.76920000e-4           	-3.38337657              	 6.91670000e-4           	-4.02703321              	 1.04350000e-4           	 1.00000000              	-3.04489524              	 1.65630000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02795020              	-2.03632411              	 0.0                     	 7.45625073              	
-1.61327579              	 0.0                     	-1.87867011e-1           	 4.71324204e-3           	-2.32668026              	 4.22724624e-6           	 1.85200606e-3           	-2.90338590              	 2.57500000e-3           	-8.88178420e-16          	 4.36553839e-4           	 4.36553839e-4           	-4.02426462              	 1.04350000e-4           	-4.00606037e-1           	-4.56699874              	 3.15790000e-5           	-1.51104314              	-1.33638837              	-5.56602422e-5           	 2.52605726e-3           	-2.63892344              	 3.88520000e-3           	 9.16255346e-3           	-3.78522944              	 1.82050000e-4           	-3.36728883              	 7.16670000e-4           	-3.93004165              	 1.30430000e-4           	 1.00000000              	-3.04618367              	 1.64580000e-3           	 2.92650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02705204              	-2.03798348              	 0.0                     	 7.47200881              	
-1.60779859              	 0.0                     	-1.91541520e-1           	 4.52698393e-3           	-2.34419105              	 4.21203035e-6           	 1.92556165e-3           	-2.88675541              	 2.60000000e-3           	 0.0                     	 3.84098951e-4           	 3.84098951e-4           	-4.00088314              	 1.10140000e-4           	-4.63221158e-1           	-4.56562235              	 3.15790000e-5           	-1.47935692              	-1.31830200              	-5.63358254e-5           	 2.58612962e-3           	-2.62878638              	 3.88520000e-3           	 9.28272911e-3           	-3.81697514              	 1.69230000e-4           	-3.38211789              	 6.91670000e-4           	-4.02703278              	 1.04350000e-4           	 1.00000000              	-3.04626432              	 1.64580000e-3           	 2.90150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02364254              	-2.03232432              	 0.0                     	 7.48293421              	
-1.60413844              	 0.0                     	-1.91541520e-1           	 4.43993175e-3           	-2.35262371              	 4.22977664e-6           	 1.91982629e-3           	-2.88831612              	 2.60000000e-3           	 0.0                     	 3.88171969e-4           	 3.88171969e-4           	-4.01249721              	 1.07250000e-4           	-4.54551260e-1           	-4.56594534              	 3.15790000e-5           	-1.48156363              	-1.31464181              	-5.63128061e-5           	 2.56611945e-3           	-2.63222234              	 3.85250000e-3           	 9.31555784e-3           	-3.82369298              	 1.66670000e-4           	-3.37500871              	 7.04170000e-4           	-4.00938209              	 1.08700000e-4           	 1.00000000              	-3.04104346              	 1.66670000e-3           	 2.90150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02355549              	-2.03079113              	 0.0                     	 7.48793089              	
-1.59305412              	 0.0                     	-1.92284033e-1           	 4.59457594e-3           	-2.33775457              	 4.17796699e-6           	 1.96529698e-3           	-2.87906348              	 2.55000000e-3           	 8.88178420e-16          	 2.85012533e-4           	 2.85012533e-4           	-4.00117785              	 1.10140000e-4           	-4.81617039e-1           	-4.56563843              	 3.15790000e-5           	-1.46921109              	-1.30101145              	-5.74041321e-5           	 2.61696892e-3           	-2.62391667              	 3.83610000e-3           	 9.44643763e-3           	-3.79801891              	 1.76920000e-4           	-3.38652620              	 6.87500000e-4           	-3.96044174              	 1.21740000e-4           	 1.00000000              	-3.03697431              	 1.68750000e-3           	 2.89650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02311757              	-2.02473194              	 0.0                     	 7.47798925              	
-1.60134934              	 0.0                     	-1.97554283e-1           	 3.88281384e-3           	-2.41085343              	 4.33229029e-6           	 1.98362369e-3           	-2.87432499              	 2.50000000e-3           	 0.0                     	 2.23298238e-4           	 2.23298238e-4           	-4.01254877              	 1.07250000e-4           	-5.34582662e-1           	-4.56399563              	 3.15790000e-5           	-1.44354121              	-1.29121927              	-5.71776763e-5           	 2.61662411e-3           	-2.62381148              	 3.67210000e-3           	 9.47634374e-3           	-3.81710398              	 1.69230000e-4           	-3.39006774              	 6.79170000e-4           	-3.97611794              	 1.17390000e-4           	 1.00000000              	-3.03412681              	 1.68750000e-3           	 2.86150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01869608              	-2.02335919              	 0.0                     	 7.52720757              	
-1.60094454              	 0.0                     	-1.96793510e-1           	 3.84928108e-3           	-2.41462038              	 4.32021475e-6           	 1.97269421e-3           	-2.87644866              	 2.47500000e-3           	-8.88178420e-16          	 2.09417097e-4           	 2.09417097e-4           	-4.00093204              	 1.10140000e-4           	-5.28562410e-1           	-4.56400658              	 3.15790000e-5           	-1.44823400              	-1.29342439              	-5.66891728e-5           	 2.57763298e-3           	-2.63026604              	 3.60660000e-3           	 9.42494202e-3           	-3.81052385              	 1.71790000e-4           	-3.39262162              	 6.75000000e-4           	-4.00943681              	 1.08700000e-4           	 1.00000000              	-3.03389083              	 1.68750000e-3           	 2.86650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01914825              	-2.02572131              	 0.0                     	 7.52798183              	
-1.60250675              	 0.0                     	-1.96793510e-1           	 3.49563968e-3           	-2.45647334              	 4.39545023e-6           	 1.93468780e-3           	-2.88442212              	 2.42500000e-3           	 4.44089210e-16          	 2.00368835e-4           	 2.00368835e-4           	-3.98952610              	 1.13040000e-4           	-5.07322095e-1           	-4.56427108              	 3.15790000e-5           	-1.45673644              	-1.29498443              	-5.56030090e-5           	 2.47839043e-3           	-2.64720525              	 3.42620000e-3           	 9.36538451e-3           	-3.83033355              	 1.64100000e-4           	-3.37935476              	 6.95830000e-4           	-4.04555508              	 1.00000000e-4           	 1.00000000              	-3.02747958              	 1.70830000e-3           	 2.86650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01879465              	-2.02847439              	 0.0                     	 7.55289449              	
-1.69336122              	 0.0                     	-2.00624146e-1           	 2.59810248e-3           	-2.58534372              	 4.80168787e-6           	 1.77230315e-3           	-2.91494989              	 2.07500000e-3           	 0.0                     	 6.52214071e-5           	 6.52214071e-5           	-3.94521453              	 1.24640000e-4           	-5.43593363e-1           	-4.55996684              	 3.15790000e-5           	-1.46583006              	-1.37268311              	-5.08720939e-5           	 2.35280856e-3           	-2.66801011              	 3.00000000e-3           	 8.52549772e-3           	-3.87086674              	 1.48720000e-4           	-3.41367447              	 6.25000000e-4           	-4.00721607              	 1.08700000e-4           	 1.00000000              	-3.07626316              	 1.47920000e-3           	 2.84150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01560340              	-2.06928026              	 0.0                     	 7.64352162              	
-1.72092139              	 0.0                     	-2.75337199e-1           	 1.89750459e-3           	-2.72181717              	 4.73639490e-6           	 1.85324713e-3           	-2.89521914              	 2.07500000e-3           	-5.57025237e-1           	 0.0                     	-2.78512619e-1           	-3.94513068              	 1.24640000e-4           	-8.23698589e-1           	-4.55646103              	 3.15790000e-5           	-1.37986555              	-1.33954388              	-5.25211148e-5           	 2.48814412e-3           	-2.64365557              	 3.00000000e-3           	 8.79438488e-3           	-3.87065444              	 1.48720000e-4           	-3.41002634              	 6.25000000e-4           	-4.00734545              	 1.08700000e-4           	 1.00000000              	-3.07025416              	 1.47920000e-3           	 2.73150000e2            	 0.0                     	 5.00000000e-1           	 0.0                     	 1.00804032              	-2.05579453              	 0.0                     	 7.72385197              	
 2.91383954              	 0.0                     	-1.59949074e-1           	 6.25282739e-18          	-17.2039236              	 3.34743908e-11          	 3.30974672e-8           	-2.78278420              	 20.0000000              	 0.0                     	 9.99999304              	 9.99999304              	-2.84432003              	 9.57910000e-5           	-2.43349507e-1           	 1.31479556              	 5.00000000              	 10.2796726              	 2.73411478              	-1.80456064e-1           	 6.49237576e-11          	-10.4347655              	 10.0000000              	 10.0013250              	-5.84778207              	 3.63170000e-4           	-3.32614226              	 10.0000000              	-5.95345030              	 2.21740000e-4           	 1.00000000              	 1.27620289              	 10.0000000              	 3.13150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.04817437              	 1.00005754              	 0.0                     	 14.8608682              	
