Anhydrite[s].si          	Ar[g].logact             	Aragonite[s].si          	CO2[g].con               	CO2[g].logact            	CO3-2.con                	Ca+2.con                 	Ca+2.logact              	Ca+2.tot                 	Calcite[s].si            	Calcite[s].tot           	Calcite[s].un            	Cl-.logact               	Cl-.tot                  	Dolomite[s].si           	F-.logact                	F-.tot                   	Fluorite[s].si           	Gypsum[s].si             	H2O.logact               	HCO3-.con                	HCO3-.logact             	HCO3-.tot                	I                        	K+.logact                	K+.tot                   	Mg+2.logact              	Mg+2.tot                 	Na+.logact               	Na+.tot                  	Node_ID                  	SO4-2.logact             	SO4-2.tot                	T                        	chargebalance            	deltaSIcalcite           	gas_res                  	gas_val_u                	logI                     	minTol                   	pH                       	
-1.41220947              	 0.0                     	-1.81649148e-1           	 4.16869383e-4           	-3.38000000              	 4.68878717e-6           	 1.65790850e-3           	-2.96410083              	 4.11680000e-3           	 4.44089210e-16          	 2.05167246e-3           	 2.05167246e-3           	-4.06459064              	 9.57910000e-5           	-1.57948282e-1           	-4.35613874              	 5.26320000e-5           	-1.17308001              	-1.15893190              	-5.15894508e-5           	 7.22256214e-4           	-3.18564378              	 5.04750000e-3           	 1.05912881e-2           	-3.49055868              	 3.63170000e-4           	-3.24236853              	 1.04480000e-3           	-3.70387200              	 2.21740000e-4           	 2.00000000              	-2.80514017              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03032616              	-1.97505122              	 0.0                     	 8.00806230              	
-1.40603626              	 0.0                     	-1.80941421e-1           	 4.16869383e-4           	-3.38000000              	 4.73452464e-6           	 1.65233301e-3           	-2.96764798              	 4.19160000e-3           	-8.88178420e-16          	 2.12647561e-3           	 2.12647561e-3           	-4.03954268              	 1.01600000e-4           	-1.11261007e-1           	-4.31779130              	 5.78950000e-5           	-1.10134774              	-1.15421156              	-5.26080493e-5           	 7.21144296e-4           	-3.18680248              	 5.17860000e-3           	 1.08576510e-2           	-3.47320139              	 3.78520000e-4           	-3.20338280              	 1.15180000e-3           	-3.82095966              	 1.69570000e-4           	 2.00000000              	-2.79669372              	 3.02900000e-3           	 2.97750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03086712              	-1.96426412              	 0.0                     	 8.00876949              	
-1.37236959              	 0.0                     	-1.80705828e-1           	 4.16869383e-4           	-3.38000000              	 4.43670787e-6           	 1.77317302e-3           	-2.93844903              	 4.21660000e-3           	 0.0                     	 1.99843330e-3           	 1.99843330e-3           	-3.82056112              	 1.68360000e-4           	-1.69768058e-1           	-4.31662325              	 5.78950000e-5           	-1.07028388              	-1.12102991              	-5.36347466e-5           	 6.96286505e-4           	-3.20237841              	 5.16220000e-3           	 1.10506758e-2           	-3.48854089              	 3.65730000e-4           	-3.23407384              	 1.07770000e-3           	-3.82135095              	 1.69570000e-4           	 2.00000000              	-2.79265007              	 3.08110000e-3           	 2.97850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03104931              	-1.95661116              	 0.0                     	 7.99381537              	
-1.41046472              	 0.0                     	-1.81649148e-1           	 4.16869383e-4           	-3.38000000              	 4.66142640e-6           	 1.66864374e-3           	-2.96142846              	 4.19160000e-3           	 0.0                     	 2.11407365e-3           	 2.11407365e-3           	-4.07798841              	 9.28880000e-5           	-1.50556114e-1           	-4.31539403              	 5.78950000e-5           	-1.08891821              	-1.15718653              	-5.12832002e-5           	 7.20088678e-4           	-3.18697982              	 5.08030000e-3           	 1.06086594e-2           	-3.49058124              	 3.63170000e-4           	-3.23230398              	 1.06950000e-3           	-3.87997887              	 1.47830000e-4           	 2.00000000              	-2.80606779              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03032618              	-1.97433949              	 0.0                     	 8.00672596              	
-1.39316569              	 0.0                     	-1.83306075e-1           	 4.16869383e-4           	-3.38000000              	 4.54847996e-6           	 1.73254973e-3           	-2.94628421              	 4.19160000e-3           	-4.44089210e-16          	 2.03408925e-3           	 2.03408925e-3           	-4.03934877              	 1.01600000e-4           	-1.73590003e-1           	-4.27778558              	 6.31580000e-5           	-9.95243224e-1           	-1.13649194              	-5.18527272e-5           	 7.19374951e-4           	-3.18768840              	 5.14590000e-3           	 1.07956661e-2           	-3.53261434              	 3.29920000e-4           	-3.23046737              	 1.07770000e-3           	-3.96464406              	 1.21740000e-4           	 2.00000000              	-2.80093054              	 2.99780000e-3           	 2.96750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02909679              	-1.96675055              	 0.0                     	 8.00165194              	
-1.40225095              	 0.0                     	-1.88564834e-1           	 4.16869383e-4           	-3.38000000              	 4.64271795e-6           	 1.73329433e-3           	-2.94538516              	 4.14170000e-3           	 4.44089210e-16          	 1.99199213e-3           	 1.99199213e-3           	-4.05177362              	 9.86940000e-5           	-2.13522171e-1           	-4.27595220              	 6.31580000e-5           	-9.80159895e-1           	-1.13479752              	-5.22363035e-5           	 7.55310587e-4           	-3.16635372              	 5.11310000e-3           	 1.07916635e-2           	-3.49994117              	 3.55500000e-4           	-3.23863128              	 1.05310000e-3           	-3.86757060              	 1.52170000e-4           	 2.00000000              	-2.80144909              	 2.97700000e-3           	 2.94550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02551989              	-1.96691160              	 0.0                     	 8.00913018              	
-1.41029090              	 0.0                     	-1.90738855e-1           	 4.16869383e-4           	-3.38000000              	 4.69500960e-6           	 1.72491806e-3           	-2.94669515              	 4.09180000e-3           	 4.44089210e-16          	 1.95795239e-3           	 1.95795239e-3           	-4.03897220              	 1.01600000e-4           	-2.30016706e-1           	-4.35416227              	 5.26320000e-5           	-1.13354199              	-1.13838027              	-5.20118152e-5           	 7.71971228e-4           	-3.15669272              	 5.09670000e-3           	 1.07215899e-2           	-3.49657246              	 3.58060000e-4           	-3.24367418              	 1.03660000e-3           	-3.84320368              	 1.60870000e-4           	 2.00000000              	-2.80426581              	 2.94580000e-3           	 2.93650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02417487              	-1.96974081              	 0.0                     	 8.01306241              	
-1.40596755              	 0.0                     	-1.92682536e-1           	 4.16869383e-4           	-3.38000000              	 4.70048624e-6           	 1.74395346e-3           	-2.94262141              	 3.99200000e-3           	 4.44089210e-16          	 1.83521250e-3           	 1.83521250e-3           	-4.00346356              	 1.10300000e-4           	-2.39352194e-1           	-4.35429608              	 5.26320000e-5           	-1.12584850              	-1.13007367              	-5.26606070e-5           	 7.83032360e-4           	-3.15067822              	 4.55590000e-3           	 1.08481303e-2           	-3.48755954              	 3.65730000e-4           	-3.23752641              	 1.05310000e-3           	-3.85531440              	 1.56520000e-4           	 2.00000000              	-2.80051757              	 2.97700000e-3           	 2.92850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02303344              	-1.96464511              	 0.0                     	 8.01395596              	
-1.41164459              	 0.0                     	-1.92926243e-1           	 4.16869383e-4           	-3.38000000              	 4.71543882e-6           	 1.73494503e-3           	-2.94419195              	 3.91720000e-3           	 0.0                     	 1.77451048e-3           	 1.77451048e-3           	-4.05157867              	 9.86940000e-5           	-2.39853015e-1           	-4.31262707              	 5.78950000e-5           	-1.04359361              	-1.13525000              	-5.21045344e-5           	 7.85986909e-4           	-3.14888311              	 4.47390000e-3           	 1.07601902e-2           	-3.49655296              	 3.58060000e-4           	-3.23816720              	 1.04900000e-3           	-3.92006057              	 1.34780000e-4           	 2.00000000              	-2.80418540              	 2.94580000e-3           	 2.92750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02289428              	-1.96818005              	 0.0                     	 8.01510834              	
-1.41559820              	 0.0                     	-1.95863768e-1           	 4.16869383e-4           	-3.38000000              	 4.77244105e-6           	 1.73675963e-3           	-2.94363666              	 3.76750000e-3           	 4.44089210e-16          	 1.62665458e-3           	 1.62665458e-3           	-4.05155334              	 9.86940000e-5           	-2.55232820e-1           	-4.35350422              	 5.26320000e-5           	-1.11891757              	-1.13318222              	-5.23712355e-5           	 8.07763318e-4           	-3.13699220              	 4.32650000e-3           	 1.07951285e-2           	-3.48729923              	 3.65730000e-4           	-3.23574828              	 1.05310000e-3           	-3.90624940              	 1.39130000e-4           	 2.00000000              	-2.80340676              	 2.94580000e-3           	 2.91550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02128244              	-1.96677218              	 0.0                     	 8.01925915              	
