NodeID: 0.0
nr   logfactor           convergence         gas_val_u                   gas_res             logI                        I.eq                pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot          
                                                                          0.0                                             0.0                                             0.0                                             1.00000000                                      1.00000000e-10     

1.0  0.0                 13.826751932593925   1.00000000              X  -6.71045445         -7.04800394                 -4.65281697e-8       7.04815653                 -8.32528374e-15     -3.60653902e-11              1.00000000         -10.0804544                  1.00058924e-10     
2.0  -2.269189717404397  13.824408968953206   9.00000000e-1           X  -6.67434987         -7.04800109                 -3.34577558e-7       7.04815368                 -5.98543313e-14      4.34794673e-2           X   9.94768391e-1      -10.0443499              X   9.97034393e-11     
3.0  -2.229094859997645  13.821838727413573   8.00000000e-1           X  -6.63496639         -7.04799771                 -7.05487088e-7       7.04815031                 -1.26206647e-13      9.16923373e-2           X   9.88057739e-1      -10.0049664              X   9.92811379e-11     
4.0  -2.185174611149376  13.818994061579433   7.00000000e-1           X  -6.59164882         -7.04799364                 -1.19518804e-6       7.04814624                 -2.13810412e-13      1.45950902e-1           X   9.79600374e-1      -9.96164882              X   9.87709586e-11     
5.0  -2.136622826984744  13.815811684034038   6.00000000e-1           X  -6.54352376         -7.04798864                 -1.86155116e-6       7.04814125                 -3.33019003e-13      2.07987523e-1           X   9.68587306e-1      -9.91352376              X   9.81419139e-11     
6.0  -2.0823483811384986 13.812203916340744   5.00000000e-1           X  -6.48939061         -7.04798236                 -2.80270096e-6       7.04813497                 -5.01387816e-13      2.80403021e-1           X   9.53614895e-1      -9.85939061              X   9.73464524e-11     
7.0  -2.0208227055031074 13.808044430128984   4.00000000e-1           X  -6.42753470         -7.04797422                 -4.19600838e-6       7.04812685                 -7.50651098e-13      3.67363082e-1           X   9.32015367e-1      -9.79753470              X   9.63076732e-11     
8.0  -1.9498094071449823 13.803141859222391   3.00000000e-1           X  -6.35538492         -7.04796328                 -6.38945352e-6       7.04811592                 -1.14307006e-12      4.76166942e-1           X   8.98024523e-1      -9.72538492              X   9.48925364e-11     
9.0  -1.8658460999305926 13.797186437516471   2.00000000e-1           X  -6.26882920         -7.04794777                 -1.01442123e-5       7.04810042                 -1.81484332e-12      6.21436047e-1           X   8.36500189e-1      -9.63882920              X   9.28492112e-11     
10.0 -1.7631433301968604 13.78962830386607    1.00000000e-1           X  -6.16067507         -7.04792409                 -1.73991110e-5       7.04807678                 -3.11291867e-12      8.39796208e-1           X   6.91506407e-1      -9.53067507              X   8.96366636e-11     
11.0 -1.6308777478508987 13.779347266412389   8.30419344e-11          X  -6.01654635         -7.04788358                 -3.43704531e-5       7.04803632                 -6.14985193e-12      1.27811836              X   1.57549060e-9      -9.38654635              X   8.38451606e-11     
12.0 -1.4448537145173914 13.763467418913502  -9.99999999e-2           X  -5.80052655         -7.04779882                 -9.06840161e-5       7.04795166                 -1.62295660e-11      2.27811836              X   1.89722291e-18     -9.17052655              X   1.37856514e-10     
13.0 -1.763467418913502  13.763467418913551   8.30419344e-11          X  -5.80052655         -7.04779726                 -8.70851629e-5       7.04795166                 -1.62295661e-11      2.29535817              X   1.63928940e-8      -9.17052655              X   1.37856514e-10     
14.0 -1.4437559709147314 13.74754663625368   -9.99999999e-2           X  -5.59173571         -7.04766209              X  -1.71736324e-4       7.04781659                 -3.13652075e-11      3.29535817              X   1.97405012e-17     -8.96173571              X   2.22897736e-10     
15.0 -1.7475466362536805 13.747546636253851   8.30419206e-11          X  -5.59173571         -7.04765902              X  -1.64666935e-4       7.04781659                 -3.13652077e-11      3.31324171              X   1.70820148e-7      -8.96173571              X   2.22897736e-10     
16.0 -1.436970411321556  13.731370421544632  -9.99999999e-2           X  -5.38729083         -7.04744468              X  -2.94043870e-4       7.04760231                 -5.44808266e-11      4.31324171              X   2.05703513e-16     -8.75729083              X   3.56756666e-10     
17.0 -1.731370421544633  13.731370421545018   8.30419067e-11          X  -5.38729083         -7.04743922              X  -2.81481948e-4       7.04760231                 -5.44808272e-11      4.33180391              X   1.78279426e-6      -8.75729083              X   3.56756667e-10     
18.0 -1.4266940799452084 13.714799395519906  -9.99999999e-2           X  -5.18560456         -7.04710062              X  -4.80845655e-4       7.04726365                 -9.00949160e-11      5.33180391              X   2.14686094e-15     -8.55560456              X   5.67252476e-10     
19.0 -1.7147993955199061 13.71479939552066    8.30419206e-11          X  -5.18560456         -7.04709135              X  -4.59508260e-4       7.04726365                 -9.00949171e-11      5.35108807              X   1.86374055e-5      -8.55560456              X   5.67252478e-10     
20.0 -1.4139943066116472 13.697726848622992  -9.99999999e-2           X  -4.98570811         -7.04655795              X  -7.67880635e-4       7.04672992              X  -1.45216437e-10      6.35108807              X   2.24433700e-14     -8.35570811              X   8.97901175e-10     
21.0 -0.6977268486232326 13.600505489874454  -2.00000000e-1           X  -3.98570811         -7.04233674              X  -2.71343220e-2       7.04250695              X  -5.05940658e-9       7.35108807              X   2.24433700e-13     -7.35570811              X   8.90668921e-9      
22.0 -0.6005054898743097 13.475047347176071  -3.00000000e-1           X  -2.98570811         -7.00075636              X  -1.92795587e-1       6.99990023              X  -4.71545024e-8       8.35108807              X   2.24433700e-12     -6.35570811              X   8.21506179e-8      
23.0 -0.9502459431236205 13.423392658027188  -4.00000000e-1           X  -2.65089581         -6.91738479              X  -2.06628167e-1       6.89990023              X  -5.28761263e-8       9.35108807              X   2.24433700e-11     -6.02089581              X   1.47762598e-7      
24.0 -1.031674676299049  13.38101610404955   -5.00000000e-1           X  -2.40445196         -6.83112130              X  -2.03922914e-1       6.79990023              X  -5.33511241e-8       10.3510881              X   2.24433700e-10     -5.77445196              X   2.18835499e-7      
25.0 -1.044616961559146  13.339944533864362  -6.00000000e-1           X  -2.18748223         -6.74101730              X  -1.95276314e-1       6.69990023              X  -5.17535279e-8       11.3510881              X   2.24433700e-9      -5.55748223              X   3.05957698e-7      
