 pH                      	 chargebalance           	 I                       	 H+.tot                  	 OH-.con                 	 SO4-2.con               	 F-.con                  	 Ca+2.con                	 SO4-2.logact            	 F-.logact               	 Ca+2.logact             	 Ca+2.tot                	 F-.tot                  	 SO4-2.tot               	 Gypsum[s].tot           	 Anhydrite[s].tot        	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 Ca+2.con                	 CaCO3.con               	 CaHCO3+.con             	 CaOH+.con               	 CO3-2.liter             	 CO3-2.diss              	 Calcite[s].tot          	 I                       	 H2.tot                  	 H2.gas_l                	
 10.3017657              	 0.0                     	 7.43810178e-4           	-9.07069341e-7           	 2.08092931e-4           	 4.40128199e-14          	 2.88312184e-4           	 2.47405063e-4           	-13.4101252              	-3.55356310              	-3.66029580              	 2.49000000e-4           	 2.89000000e-4           	 4.59607755e-14          	 0.0                     	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 2.47405063e-4           	 1.11111111e-111         	 1.11111111e-111         	 9.07141484e-7           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 7.43810178e-4           	 1.11111111e-111         	 1.11111111e-111         	
 10.1925803              	 0.0                     	 4.15646371e-2           	-1.85161167e-5           	 1.90483883e-4           	 1.02867849e-2           	 9.57484093e-5           	 1.04180500e-2           	-2.30775339              	-4.09887669              	-2.30224661              	 2.49000000e-4           	 2.89000000e-4           	 1.59101982e-2           	 1.00000000              	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.04180500e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.85162385e-5           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 4.15646371e-2           	 1.11111111e-111         	 1.11111111e-111         	
 4.32966327              	 0.0                     	 4.14776108e-2           	 8.90002611e-5           	 2.61137732e-10          	 1.03308946e-2           	 9.59671385e-5           	 1.03617576e-2           	-2.30564775              	-4.09782387              	-2.30435225              	 1.00000000e-4           	 2.89000000e-4           	 1.59815078e-2           	 1.00000000              	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.03617576e-2           	 1.11111111e-111         	 1.11111111e-111         	 2.52623979e-11          	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 4.14776108e-2           	 1.11111111e-111         	 1.11111111e-111         	
 12.4328415              	 0.0                     	 7.79078574e-2           	-9.64742805e-1           	 3.49681954e-2           	 7.06572388e-3           	 7.58944316e-5           	 2.16665959e-2           	-2.54831701              	-4.21915851              	-2.06168299              	 5.00000000e-1           	 2.89000000e-4           	 1.26891371e-2           	 1.00000000              	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 2.16665959e-2           	 1.11111111e-111         	 1.11111111e-111         	 5.83518712e-3           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 7.79078574e-2           	 1.11111111e-111         	 1.11111111e-111         	
