@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	pressure                 	Calcite[s].tot           	Fluorite[s].tot          	Gypsum[s].tot            	Rhodochrosite[s].tot     	CO2[g].logact            	
Data:	 5.56137146              	 7.69630456              	 7.53426301              	 2.49956089              	 4.95283028              	 4.99964694              	 8.86282246e-1           	
Data:	 5.85390046              	 5.88110844              	 1.57583693e-2           	 2.20560225e-4           	 0.0                     	 2.81026417e-4           	 6.88518457e-1           	
