pH                       	chargebalance            	CO2[g].con               	Cl-.tot                  	I                        	CO3-2.tot                	CO3-2.diss               	H2CO3.con                	HCO3-.con                	CO3-2.con                	CO2.con                  	CO2[g].tot               	
 8.17952271e-1           	 0.0                     	 5.72892889e-1           	 4.08169184e-1           	 4.08169265e-1           	 1.00000000e-1           	 3.90035673e-2           	 1.95017431e-2           	 8.10530901e-8           	 6.17239188e-17          	 1.95017431e-2           	 6.09964327e-2           	
 7.77180628e-1           	 0.0                     	 5.72892928e-1           	 4.28577143e-1           	 4.28577217e-1           	 1.00000000e-1           	 3.90035630e-2           	 1.95017445e-2           	 7.40872039e-8           	 5.10844819e-17          	 1.95017445e-2           	 6.09964370e-2           	
 7.39760833e-1           	 0.0                     	 5.72892961e-1           	 4.48985102e-1           	 4.48985170e-1           	 1.00000000e-1           	 3.90035594e-2           	 1.95017456e-2           	 6.82314382e-8           	 4.28876658e-17          	 1.95017456e-2           	 6.09964406e-2           	
 7.05154387e-1           	 0.0                     	 5.72892990e-1           	 4.69393061e-1           	 4.69393124e-1           	 1.00000000e-1           	 3.90035563e-2           	 1.95017466e-2           	 6.32356869e-8           	 3.64372724e-17          	 1.95017466e-2           	 6.09964437e-2           	
 6.72941959e-1           	 0.0                     	 5.72893014e-1           	 4.89801020e-1           	 4.89801079e-1           	 1.00000000e-1           	 3.90035537e-2           	 1.95017474e-2           	 5.89200821e-8           	 3.12698122e-17          	 1.95017474e-2           	 6.09964463e-2           	
 6.42790749e-1           	 0.0                     	 5.72893035e-1           	 5.10208980e-1           	 5.10209035e-1           	 1.00000000e-1           	 3.90035514e-2           	 1.95017481e-2           	 5.51519177e-8           	 2.70667310e-17          	 1.95017481e-2           	 6.09964486e-2           	
 6.14432294e-1           	 0.0                     	 5.72893054e-1           	 5.30616939e-1           	 5.30616991e-1           	 1.00000000e-1           	 3.90035493e-2           	 1.95017487e-2           	 5.18311157e-8           	 2.36030430e-17          	 1.95017487e-2           	 6.09964507e-2           	
 5.87646949e-1           	 0.0                     	 5.72893071e-1           	 5.51024898e-1           	 5.51024947e-1           	 1.00000000e-1           	 3.90035475e-2           	 1.95017493e-2           	 4.88807581e-8           	 2.07160616e-17          	 1.95017493e-2           	 6.09964525e-2           	
 5.62252771e-1           	 0.0                     	 5.72893086e-1           	 5.71432857e-1           	 5.71432903e-1           	 1.00000000e-1           	 3.90035459e-2           	 1.95017498e-2           	 4.62407379e-8           	 1.82857047e-17          	 1.95017498e-2           	 6.09964541e-2           	
 5.38097396e-1           	 0.0                     	 5.72893099e-1           	 5.91840816e-1           	 5.91840860e-1           	 1.00000000e-1           	 3.90035444e-2           	 1.95017503e-2           	 4.38633922e-8           	 1.62217181e-17          	 1.95017503e-2           	 6.09964556e-2           	
 5.15051980e-1           	 0.0                     	 5.72893111e-1           	 6.12248776e-1           	 6.12248817e-1           	 1.00000000e-1           	 3.90035431e-2           	 1.95017507e-2           	 4.17104306e-8           	 1.44551683e-17          	 1.95017507e-2           	 6.09964569e-2           	
 4.93006620e-1           	 0.0                     	 5.72893122e-1           	 6.32656735e-1           	 6.32656774e-1           	 1.00000000e-1           	 3.90035419e-2           	 1.95017511e-2           	 3.97507317e-8           	 1.29326451e-17          	 1.95017511e-2           	 6.09964581e-2           	
 4.71866829e-1           	 0.0                     	 5.72893133e-1           	 6.53064694e-1           	 6.53064732e-1           	 1.00000000e-1           	 3.90035408e-2           	 1.95017514e-2           	 3.79587344e-8           	 1.16122296e-17          	 1.95017514e-2           	 6.09964592e-2           	
 4.51550796e-1           	 0.0                     	 5.72893142e-1           	 6.73472653e-1           	 6.73472689e-1           	 1.00000000e-1           	 3.90035398e-2           	 1.95017517e-2           	 3.63132443e-8           	 1.04606370e-17          	 1.95017517e-2           	 6.09964602e-2           	
 4.31987226e-1           	 0.0                     	 5.72893150e-1           	 6.93880612e-1           	 6.93880647e-1           	 1.00000000e-1           	 3.90035388e-2           	 1.95017520e-2           	 3.47965352e-8           	 9.45115788e-18          	 1.95017520e-2           	 6.09964612e-2           	
 4.13113620e-1           	 0.0                     	 5.72893158e-1           	 7.14288571e-1           	 7.14288605e-1           	 1.00000000e-1           	 3.90035380e-2           	 1.95017523e-2           	 3.33936649e-8           	 8.56215254e-18          	 1.95017523e-2           	 6.09964620e-2           	
 3.94874892e-1           	 0.0                     	 5.72893166e-1           	 7.34696531e-1           	 7.34696563e-1           	 1.00000000e-1           	 3.90035372e-2           	 1.95017525e-2           	 3.20919459e-8           	 7.77593398e-18          	 1.95017525e-2           	 6.09964628e-2           	
 3.77222249e-1           	 0.0                     	 5.72893173e-1           	 7.55104490e-1           	 7.55104521e-1           	 1.00000000e-1           	 3.90035364e-2           	 1.95017528e-2           	 3.08805339e-8           	 7.07792895e-18          	 1.95017528e-2           	 6.09964636e-2           	
 3.60112269e-1           	 0.0                     	 5.72893179e-1           	 7.75512449e-1           	 7.75512479e-1           	 1.00000000e-1           	 3.90035357e-2           	 1.95017530e-2           	 2.97501030e-8           	 6.45604048e-18          	 1.95017530e-2           	 6.09964643e-2           	
 3.43506146e-1           	 0.0                     	 5.72893185e-1           	 7.95920408e-1           	 7.95920437e-1           	 1.00000000e-1           	 3.90035351e-2           	 1.95017532e-2           	 2.86925868e-8           	 5.90015814e-18          	 1.95017532e-2           	 6.09964649e-2           	
 3.27369063e-1           	 0.0                     	 5.72893191e-1           	 8.16328367e-1           	 8.16328395e-1           	 1.00000000e-1           	 3.90035345e-2           	 1.95017534e-2           	 2.77009721e-8           	 5.40177814e-18          	 1.95017534e-2           	 6.09964655e-2           	
 3.11669662e-1           	 0.0                     	 5.72893196e-1           	 8.36736327e-1           	 8.36736353e-1           	 1.00000000e-1           	 3.90035339e-2           	 1.95017536e-2           	 2.67691308e-8           	 4.95370587e-18          	 1.95017536e-2           	 6.09964661e-2           	
 2.96379606e-1           	 0.0                     	 5.72893201e-1           	 8.57144286e-1           	 8.57144312e-1           	 1.00000000e-1           	 3.90035334e-2           	 1.95017537e-2           	 2.58916842e-8           	 4.54982106e-18          	 1.95017537e-2           	 6.09964666e-2           	
 2.81473206e-1           	 0.0                     	 5.72893205e-1           	 8.77552245e-1           	 8.77552270e-1           	 1.00000000e-1           	 3.90035329e-2           	 1.95017539e-2           	 2.50638903e-8           	 4.18489076e-18          	 1.95017539e-2           	 6.09964671e-2           	
 2.66927098e-1           	 0.0                     	 5.72893210e-1           	 8.97960204e-1           	 8.97960228e-1           	 1.00000000e-1           	 3.90035324e-2           	 1.95017540e-2           	 2.42815521e-8           	 3.85441938e-18          	 1.95017540e-2           	 6.09964676e-2           	
 2.52719976e-1           	 0.0                     	 5.72893214e-1           	 9.18368163e-1           	 9.18368187e-1           	 1.00000000e-1           	 3.90035319e-2           	 1.95017542e-2           	 2.35409408e-8           	 3.55452765e-18          	 1.95017542e-2           	 6.09964681e-2           	
 2.38832356e-1           	 0.0                     	 5.72893218e-1           	 9.38776122e-1           	 9.38776145e-1           	 1.00000000e-1           	 3.90035315e-2           	 1.95017543e-2           	 2.28387317e-8           	 3.28185413e-18          	 1.95017543e-2           	 6.09964685e-2           	
 2.25246378e-1           	 0.0                     	 5.72893222e-1           	 9.59184082e-1           	 9.59184104e-1           	 1.00000000e-1           	 3.90035311e-2           	 1.95017545e-2           	 2.21719506e-8           	 3.03347470e-18          	 1.95017545e-2           	 6.09964689e-2           	
 2.11945627e-1           	 0.0                     	 5.72893225e-1           	 9.79592041e-1           	 9.79592062e-1           	 1.00000000e-1           	 3.90035307e-2           	 1.95017546e-2           	 2.15379282e-8           	 2.80683630e-18          	 1.95017546e-2           	 6.09964693e-2           	
 1.98914986e-1           	 0.0                     	 5.72893229e-1           	 1.00000000              	 1.00000002              	 1.00000000e-1           	 3.90035303e-2           	 1.95017547e-2           	 2.09342616e-8           	 2.59970218e-18          	 1.95017547e-2           	 6.09964697e-2           	
