// Here we define the input for the chemical equilibrium calculations.
// The values given here overwrite the default values defined within the chemistry file
// We can give individual data points as follows:

//Var:    	Ca+2.tot  Cl-.tot
//Default:   	.1        .2
//Data:   	.1        .2
Var:	T 	deltaSIcalcite	pH	HCO3-.tot	Ca+2.tot	Mg+2.tot	Na+.tot	K+.tot	F-.tot	Cl-.tot	SO4-2.tot
Data:	297.45	0	7.32	0.00504918032786885	0.004125	0.00105833333333333	0.000221739130434783	0.000364102564102564	5.26315789473684E-05	9.56521739130435E-05	0.00294791666666667
Data:	297.75	0	7.23	0.00518032786885246	0.0042	0.00116666666666667	0.000169565217391304	0.00037948717948718	5.78947368421053E-05	0.000101449275362319	0.00303125
Data:	297.85	0	7.2	0.00516393442622951	0.004225	0.00109166666666667	0.000169565217391304	0.000366666666666667	5.78947368421053E-05	0.000168115942028986	0.00308333333333333
Data:	297.45	0	7.24	0.00508196721311475	0.0042	0.00108333333333333	0.000147826086956522	0.000364102564102564	5.78947368421053E-05	9.27536231884058E-05	0.00294791666666667
Data:	296.75	0	7.43	0.00514754098360656	0.0042	0.00109166666666667	0.000121739130434783	0.000330769230769231	6.31578947368421E-05	0.000101449275362319	0.003
Data:	294.55	0	7.79	0.00511475409836066	0.00415	0.00106666666666667	0.000152173913043478	0.000356410256410256	6.31578947368421E-05	9.85507246376812E-05	0.00297916666666667
Data:	293.65	0	8.06	0.0050983606557377	0.0041	0.00105	0.000160869565217391	0.000358974358974359	5.26315789473684E-05	0.000101449275362319	0.00294791666666667
Data:	292.85	0	8.27	0.00455737704918033	0.004	0.00106666666666667	0.000156521739130435	0.000366666666666667	5.26315789473684E-05	0.000110144927536232	0.00297916666666667
Data:	292.75	0	8.28	0.00447540983606557	0.003925	0.0010625	0.000134782608695652	0.000358974358974359	5.78947368421053E-05	9.85507246376812E-05	0.00294791666666667
Data:	291.55	0	8.37	0.00432786885245902	0.003775	0.00106666666666667	0.000139130434782609	0.000366666666666667	5.26315789473684E-05	9.85507246376812E-05	0.00294791666666667
Data:	287.55	0	8.25	0.00344262295081967	0.00305	0.0008875	0.000143478260869565	0.000292307692307692	3.68421052631579E-05	0.000115942028985507	0.0025625
Data:	287.55	-0.5	8.25	0.00344262295081967	0.00305	0.0008875	0.000143478260869565	0.000292307692307692	3.68421052631579E-05	0.000115942028985507	0.0025625


//Sweep: 50
    Swept:  CO2[g].logact  @evaluate:("log10(275e-6)")  @evaluate:("log10(420e-6)") lin
}
