NodeID: 0.0
 nr   logfactor           convergence         gas_val_u                   gas_res             I                           I.eq                pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             0.0                                             0.0                                             0.0                

 1.0  0.0                 12.999999999999833  2.92844424e-13           X  1.00000000          8.95285961e-8              -1.85903880e-18      7.04819076                  9.26442286e-23     -12.4164323                  3.83325651e-33     -21.2736234                  1.08775134e-22     
 29.0 0.0                 4.579433556004954   3.04784566e-4               0.0                 8.95285962e-8               3.66872469e-18      7.04819076                  0.0                 4.36024063e-17           X  3.79693844e-9      -30.9462798                  2.31138992e-32     
 30.0 0.0                 4.397091908447007   2.47071213e-4               0.0                 8.95285962e-8               3.66872469e-18      7.04819076                  0.0                 4.36024063e-17           X  2.49512271e-9      -31.3810745                  8.49334072e-33     
 31.0 0.0                 4.240090421571108   2.06215547e-4               0.0                 8.95285962e-8               3.66872469e-18      7.04819076                  0.0                 4.36024063e-17           X  1.73816268e-9      -31.8158691                  3.12092891e-33     
 32.0 0.0                 4.103005725787923   1.76107988e-4               0.0                 8.95285961e-8              -3.74731346e-18      7.04819076                  0.0                 4.36024063e-17           X  1.26766858e-9      -32.2506638                  1.14680402e-33     
 33.0 0.0                 3.9818079996041043  1.53172286e-4               0.0                 8.95285961e-8              -6.22039821e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  9.58976577e-10     -32.6854585                  4.21400003e-34     
 34.0 0.0                 3.8734809026949573  1.35212438e-4               0.0                 8.95285962e-8               6.86484470e-18      7.04819076                  3.70576914e-22      4.36024063e-17           X  7.47275773e-10     -33.1202532                  1.54845954e-34     
 35.0 0.0                 3.7757372061565633  1.20821659e-4               0.0                 8.95285961e-8              -2.47701551e-18      7.04819076                  0.0                 4.36024063e-17           X  5.96674127e-10     -33.5550478                  5.68990728e-35     
 36.0 0.0                 3.6868165240394957  1.09064762e-4               0.0                 8.95285961e-8              -2.47701551e-18      7.04819076                  0.0                 4.36024063e-17           X  4.86201757e-10     -33.9898425                  2.09079049e-35     
 37.0 0.0                 3.60534339898916    9.92996900e-5               0.0                 8.95285962e-8               1.84718033e-18      7.04819076                  0.0                 4.36024063e-17           X  4.03035591e-10     -34.4246372                  7.68273483e-36     
 38.0 0.0                 3.530227512567731   9.10730643e-5               0.0                 8.95285962e-8               1.84718033e-18      7.04819076                  0.0                 4.36024063e-17           X  3.39021712e-10     -34.8594318                  2.82306690e-36     
 39.0 0.0                 3.4605928526186425  8.40567549e-5               0.0                 8.95285962e-8               5.85031098e-18      7.04819076                  0.0                 4.36024063e-17           X  2.88797116e-10     -35.2942265                  1.03735283e-36     
 40.0 0.0                 3.3957267989175497  7.80080807e-5               0.0                 8.95285961e-8              -5.04393562e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  2.48729215e-10     -35.7290212                  3.81181508e-37     
 41.0 0.0                 3.335043020210656   7.27440880e-5               0.0                 8.95285962e-8               2.36793354e-18      7.04819076                  3.57342025e-22      4.36024063e-17           X  2.16293277e-10     -36.1638159                  1.40067427e-37     
 42.0 0.0                 3.278054058459279   6.81244835e-5               0.0                 8.95285962e-8               7.41074420e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.89694203e-10     -36.5986105                  5.14686145e-38     
 43.0 0.0                 3.224350795802041   6.40400395e-5               0.0                 8.95285962e-8               7.41074420e-18      7.04819076                  1.85288457e-22      4.36024063e-17           X  1.67629634e-10     -37.0334052                  1.89124505e-38     
 44.0 0.0                 3.1735868770861972  6.04045470e-5               0.0                 8.95285962e-8               1.20791266e-17      7.04819076                  0.0                 4.36024063e-17           X  1.49137506e-10     -37.4681999                  6.94949314e-39     
 45.0 0.0                 3.125466747590601   5.71491226e-5               0.0                 8.95285961e-8              -6.97780448e-18      7.04819076                  0.0                 4.36024063e-17           X  1.33495537e-10     -37.9029946                  2.55363285e-39     
 46.0 0.0                 3.0797363617849562  5.42181100e-5               0.0                 8.95285962e-8               1.66586234e-18      7.04819076                  0.0                 4.36024063e-17           X  1.20153482e-10     -38.3377892                  9.38347678e-40     
 47.0 0.0                 3.03617588957395    5.15660824e-5               0.0                 8.95285962e-8               1.66586234e-18      7.04819076                  0.0                 4.36024063e-17           X  1.08686572e-10     -38.7725839                  3.44801471e-40     
 48.0 0.0                 2.994593933529537   4.91556179e-5               0.0                 8.95285961e-8              -2.33505808e-18      7.04819076                  0.0                 4.36024063e-17           X  9.87629227e-11     -39.2073786                  1.26699364e-40     
 49.0 0.0                 2.9548229015049112  4.69556270e-5               0.0                 8.95285961e-8              -2.33505808e-18      7.04819076                  0.0                 4.36024063e-17           X  9.01203566e-11     -39.6421733                  4.65564399e-41     
 50.0 0.0                 2.916715271722636   4.49400787e-5               0.0                 8.95285961e-8              -9.74297001e-18      7.04819076                  0.0                 4.36024063e-17           X  8.25496567e-11     -40.0769679                  1.71074425e-41     
 51.0 0.0                 2.880140553851905   4.30870212e-5               0.0                 8.95285961e-8              -4.70301809e-18      7.04819076                  0.0                 4.36024063e-17           X  7.58823119e-11     -40.5117626                  6.28623215e-42     
 52.0 0.0                 2.844982797721773   4.13778187e-5               0.0                 8.95285962e-8               2.15493123e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  6.99814276e-11     -40.9465573                  2.30991363e-42     
 53.0 0.0                 2.81113853657113    3.97965534e-5               0.0                 8.95285961e-8              -1.18425132e-17      7.04819076                  3.70576914e-22      4.36024063e-17           X  6.47349082e-11     -41.3813519                  8.48791591e-43     
 54.0 0.0                 2.7785150778228225  3.83295510e-5               0.0                 8.95285961e-8               8.55145935e-19      7.04819076                  0.0                 4.36024063e-17           X  6.00502857e-11     -41.8161466                  3.11893551e-43     
 55.0 0.0                 2.7470290738605327  3.69650017e-5               0.0                 8.95285961e-8               8.55145935e-19      7.04819076                  0.0                 4.36024063e-17           X  5.58507583e-11     -42.2509413                  1.14607152e-43     
 56.0 0.0                 2.7166053199848905  3.56926549e-5               0.0                 8.95285961e-8               8.55145935e-19      7.04819076                  0.0                 4.36024063e-17           X  5.20721273e-11     -42.6857360                  4.21130841e-44     
 57.0 0.0                 2.687175737905668   3.45035723e-5               0.0                 8.95285962e-8               4.85389583e-18      7.04819076                  0.0                 4.36024063e-17           X  4.86604071e-11     -43.1205306                  1.54747048e-44     
 58.0 0.0                 2.658678511702168   3.33899254e-5               0.0                 8.95285962e-8               4.85389583e-18      7.04819076                  0.0                 4.36024063e-17           X  4.55699458e-11     -43.5553253                  5.68627291e-45     
 59.0 0.0                 2.6310573498127745  3.23448296e-5               0.0                 8.95285962e-8               4.85389583e-18      7.04819076                  0.0                 4.36024063e-17           X  4.27619351e-11     -43.9901200                  2.08945502e-45     
 60.0 0.0                 2.6042608517771497  3.13622071e-5               0.0                 8.95285961e-8               8.07328278e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  4.02032212e-11     -44.4249147                  7.67782754e-46     
 61.0 0.0                 2.5782419625034745  3.04366727e-5               0.0                 8.95285961e-8               8.07328278e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  3.78653489e-11     -44.8597093                  2.82126369e-46     
 62.0 0.0                 2.552957500030033   2.95634384e-5               0.0                 8.95285961e-8               8.07328278e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  3.57237877e-11     -45.2945040                  1.03669023e-46     
 63.0 0.0                 2.528367745290716   2.87382333e-5               0.0                 8.95285961e-8               8.07328278e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  3.37573033e-11     -45.7292987                  3.80938030e-47     
 64.0 0.0                 2.504436084424776   2.79572362e-5               0.0                 8.95285961e-8              -4.31620197e-18      7.04819076                  0.0                 4.36024063e-17           X  3.19474416e-11     -46.1640934                  1.39977959e-47     
 65.0 0.0                 2.481128695803976   2.72170180e-5               0.0                 8.95285961e-8               1.55801123e-18      7.04819076                  0.0                 4.36024063e-17           X  3.02781054e-11     -46.5988880                  5.14357390e-48     
 66.0 0.0                 2.4584142752703673  2.65144932e-5               0.0                 8.95285962e-8               5.55456414e-18      7.04819076                  0.0                 4.36024063e-17           X  2.87352034e-11     -47.0336827                  1.89003702e-48     
 67.0 0.0                 2.4362637941507668  2.58468778e-5               0.0                 8.95285961e-8               1.16440560e-19      7.04819076                 -1.85288457e-22      4.36024063e-17           X  2.73063589e-11     -47.4684774                  6.94505415e-49     
 68.0 0.0                 2.41465028549026    2.52116539e-5               0.0                 8.95285961e-8               1.16440560e-19      7.04819076                  1.85288457e-22      4.36024063e-17           X  2.59806663e-11     -47.9032721                  2.55200172e-49     
 69.0 0.0                 2.3935486546661977  2.46065383e-5               0.0                 8.95285961e-8               1.16440560e-19      7.04819076                 -1.85288457e-22      4.36024063e-17           X  2.47484871e-11     -48.3380667                  9.37748307e-50     
 70.0 0.0                 2.372935511137026   2.40294565e-5               0.0                 8.95285961e-8               1.16440560e-19      7.04819076                  1.85288457e-22      4.36024063e-17           X  2.36012775e-11     -48.7728614                  3.44581229e-50     
 71.0 0.0                 2.3527890185711957  2.34785192e-5               0.0                 8.95285961e-8               0.0                 7.04819076                 -1.85288457e-22      4.36024063e-17           X  2.25314436e-11     -49.2076561                  1.26618435e-50     
 72.0 0.0                 2.3330887610095923  2.29520020e-5               0.0                 8.95285962e-8               6.34188126e-18      7.04819076                  1.85288457e-22      4.36024063e-17           X  2.15322176e-11     -49.6424507                  4.65267019e-51     
 73.0 0.0                 2.313815623055702   2.24483283e-5               0.0                 8.95285961e-8              -2.28749188e-18      7.04819076                  0.0                 4.36024063e-17           X  2.05975527e-11     -50.0772454                  1.70965151e-51     
 74.0 0.0                 2.294951682373298   2.19660534e-5               0.0                 8.95285961e-8              -2.28749188e-18      7.04819076                  0.0                 4.36024063e-17           X  1.97220331e-11     -50.5120401                  6.28221681e-52     
 75.0 0.0                 2.2764801130116368  2.15038514e-5               0.0                 8.95285961e-8              -4.49986253e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.89007968e-11     -50.9468348                  2.30843817e-52     
 76.0 0.0                 2.2583850982809235  2.10605031e-5               0.0                 8.95285962e-8               5.43478838e-18      7.04819076                  1.85288457e-22      4.36024063e-17           X  1.81294696e-11     -51.3816294                  8.48249423e-53     
 77.0 0.0                 2.2406517520725218  2.06348858e-5               0.0                 8.95285961e-8              -1.96094745e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.74041073e-11     -51.8164241                  3.11694328e-53     
 78.0 0.0                 2.223266047664329   2.02259634e-5               0.0                 8.95285961e-8              -6.99272020e-18      7.04819076                  3.70576914e-22      4.36024063e-17           X  1.67211463e-11     -52.2512188                  1.14533946e-53     
 79.0 0.0                 2.2062147531761225  1.98327789e-5               0.0                 8.95285961e-8              -1.45941130e-19      7.04819076                  0.0                 4.36024063e-17           X  1.60773606e-11     -52.6860135                  4.20861842e-54     
 80.0 0.0                 2.189485372946045   1.94544465e-5               0.0                 8.95285961e-8              -4.80418559e-18      7.04819076                  0.0                 4.36024063e-17           X  1.54698240e-11     -53.1208081                  1.54648203e-54     
 81.0 0.0                 2.1730660941906046  1.90901456e-5               0.0                 8.95285962e-8               7.87262861e-18      7.04819076                  0.0                 4.36024063e-17           X  1.48958776e-11     -53.5556028                  5.68264079e-55     
 82.0 0.0                 2.1569457383889907  1.87391144e-5               0.0                 8.95285961e-8              -7.52112318e-19      7.04819076                  0.0                 4.36024063e-17           X  1.43531009e-11     -53.9903975                  2.08812037e-55     
 83.0 0.0                 2.1411137169001417  1.84006452e-5               0.0                 8.95285962e-8               5.11584077e-18      7.04819076                  0.0                 4.36024063e-17           X  1.38392870e-11     -54.4251922                  7.67292329e-56     
 84.0 0.0                 2.1255599903794535  1.80740795e-5               0.0                 8.95285961e-8              -6.86087423e-18      7.04819076                  0.0                 4.36024063e-17           X  1.33524202e-11     -54.8599868                  2.81946159e-56     
 85.0 0.0                 2.110275031612714   1.77588038e-5               0.0                 8.95285961e-8              -1.42861371e-18      7.04819076                  0.0                 4.36024063e-17           X  1.28906564e-11     -55.2947815                  1.03602804e-56     
 86.0 0.0                 2.0952497914288535  1.74542458e-5               0.0                 8.95285961e-8              -2.77932686e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.24523062e-11     -55.7295762                  3.80694704e-57     
 87.0 0.0                 2.080475667391466   1.71598713e-5               0.0                 8.95285961e-8              -2.77932686e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  1.20358195e-11     -56.1643709                  1.39888548e-57     
 88.0 0.0                 2.065944475002511   1.68751806e-5               0.0                 8.95285961e-8              -2.77932686e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.16397720e-11     -56.5991655                  5.14028842e-58     
 89.0 0.0                 2.0516484211809094  1.65997063e-5               0.0                 8.95285961e-8              -2.77932686e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  1.12628531e-11     -57.0339602                  1.88882975e-58     
 90.0 0.0                 2.037580079804389   1.63330102e-5               0.0                 8.95285961e-8              -6.33511823e-18      7.04819076                  0.0                 4.36024063e-17           X  1.09038553e-11     -57.4687549                  6.94061797e-59     
 91.0 0.0                 2.023732369125524   1.60746815e-5               0.0                 8.95285961e-8              -1.16467030e-21      7.04819076                 -1.85288457e-22      4.36024063e-17           X  1.05616645e-11     -57.9035495                  2.55037162e-59     
 92.0 0.0                 2.0100985308927406  1.58243346e-5               0.0                 8.95285962e-8               5.86349293e-18      7.04819076                  3.70576914e-22      4.36024063e-17           X  1.02352518e-11     -58.3383442                  9.37149316e-60     
 93.0 0.0                 1.9966721110245926  1.55816071e-5               0.0                 8.95285961e-8               9.92616735e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  9.92366536e-12     -58.7731389                  3.44361126e-60     
 94.0 0.0                 1.9834469417010716  1.53461579e-5               0.0                 8.95285961e-8               9.92616735e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  9.62602403e-12     -59.2079336                  1.26537557e-60     
 95.0 0.0                 1.970417124749438   1.51176663e-5               0.0                 8.95285962e-8               7.38862869e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  9.34151090e-12     -59.6427282                  4.64969827e-61     
 96.0 0.0                 1.9575770162141932  1.48958298e-5               0.0                 8.95285961e-8              -2.66377304e-18      7.04819076                  3.57342025e-22      4.36024063e-17           X  9.06936783e-12     -60.0775229                  1.70855946e-61     
