NodeID: 0.0
 nr   logfactor           convergence         gas_val_u                   gas_res             I                           I.eq                pH                          chargebalance      
                                                                          0.0                                             0.0                                             0.0                

 1.0  -1.3010299956639813 9.63000000000006    1.00000000e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 2.0  0.0                 9.63000000000006    1.00426580e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 3.0  0.0                 9.63000000000006    1.00853159e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 4.0  0.0                 9.63000000000006    1.01279739e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 5.0  0.0                 9.63000000000006    1.01706318e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 6.0  0.0                 9.63000000000006    1.02132898e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 7.0  0.0                 9.63000000000006    1.02559477e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 8.0  0.0                 9.63000000000006    1.02986057e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 9.0  0.0                 9.63000000000006    1.03412636e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 10.0 0.0                 9.63000000000006    1.03839216e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 11.0 0.0                 9.63000000000006    1.04265795e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 12.0 0.0                 9.63000000000006    1.04692375e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 13.0 0.0                 9.63000000000006    1.05118954e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 14.0 0.0                 9.63000000000006    1.05545534e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 15.0 0.0                 9.63000000000006    1.05972113e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 16.0 0.0                 9.63000000000006    1.06398693e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 17.0 0.0                 9.63000000000006    1.06825272e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 18.0 0.0                 9.63000000000006    1.07251852e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 19.0 0.0                 9.63000000000006    1.07678431e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 20.0 0.0                 9.63000000000006    1.08105011e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 21.0 0.0                 9.63000000000006    1.08531590e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 22.0 0.0                 9.63000000000006    1.08958170e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 23.0 0.0                 9.63000000000006    1.09384749e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 24.0 0.0                 9.63000000000006    1.09811329e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 25.0 0.0                 9.63000000000006    1.10237908e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 26.0 0.0                 9.63000000000006    1.10664488e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 27.0 0.0                 9.63000000000006    1.11091067e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 28.0 0.0                 9.63000000000006    1.11517647e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 29.0 0.0                 9.63000000000006    1.11944227e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 30.0 0.0                 9.63000000000006    1.12370806e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 31.0 0.0                 9.63000000000006    1.12797386e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 32.0 0.0                 9.63000000000006    1.13223965e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 33.0 0.0                 9.63000000000006    1.13650545e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 34.0 0.0                 9.63000000000006    1.14077124e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
 35.0 0.0                 9.63000000000006    1.14503704e-1            X -4.26579519e-4       1.00000000e-1            X  9.99585708e-2       7.00000000               X -8.24391565e-5      
