NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_eq              I                           I.eq                charge_unknown              chargebalance       pH                          H.tot               Halite[s].un                Halite[s].eq        Natron[s].un                Natron[s].eq        Thermonatrite[s].un         Thermonatrite[s].eq
                                                                          1.00000000e-20                                  0.0                                             0.0                                             1.00000000e-9                                   0.0                                             0.0                                             0.0                

 1.0  -1.0                20.10722906740954   1.00000000                  0.0                 1.00000000e-1            X -6.40028134e6       -1.00000000e-3            X  1.28005629e7       -7.00000000               X  1.28005629e7       -1.00000000e-3              -7.30047000         -1.00000000e-3              -56.8350000         -1.00000000e-3              -58.7830000         
 2.0  0.0                 20.20722906740954   1.00000000                  0.0                 1.00000000e-1            X -8.05747691e6       -1.01000000e-1            X  1.61149538e7       -7.10000000               X  1.61149539e7       -1.00000000e-3              -5.59289983         -1.00000000e-3              -57.0350000         -1.00000000e-3              -58.9830000         
 3.0  0.0                 20.30722906740954   1.00000000                  0.0                 1.00000000e-1            X -1.01437625e7       -2.01000000e-1            X  2.02875247e7       -7.20000000               X  2.02875250e7       -1.00000000e-3              -5.29614863         -1.00000000e-3              -57.2350000         -1.00000000e-3              -59.1830000         
 4.0  0.0                 20.407229067409542  1.00000000                  0.0                 1.00000000e-1            X -1.27702405e7       -3.01000000e-1            X  2.55404803e7       -7.30000000               X  2.55404807e7       -1.00000000e-3              -5.12149306         -1.00000000e-3              -57.4350000         -1.00000000e-3              -59.3830000         
 5.0  0.0                 20.50722906740954   1.00000000                  0.0                 1.00000000e-1            X -1.60767803e7       -4.01000000e-1            X  3.21535597e7       -7.40000000               X  3.21535602e7       -1.00000000e-3              -4.99727395         -1.00000000e-3              -57.6350000         -1.00000000e-3              -59.5830000         
 6.0  0.0                 20.607229067409538  1.00000000                  0.0                 1.00000000e-1            X -2.02394672e7       -5.01000000e-1            X  4.04789334e7       -7.50000000               X  4.04789340e7       -1.00000000e-3              -4.90079628         -1.00000000e-3              -57.8350000         -1.00000000e-3              -59.7830000         
 7.0  0.0                 20.70722906740954   1.00000000                  0.0                 1.00000000e-1            X -2.54799796e7       -6.01000000e-1            X  5.09599579e7       -7.60000000               X  5.09599587e7       -1.00000000e-3              -4.82190351         -1.00000000e-3              -58.0350000         -1.00000000e-3              -59.9830000         
 8.0  0.0                 20.807229067409537  1.00000000                  0.0                 1.00000000e-1            X -3.20773938e7       -7.01000000e-1            X  6.41547861e7       -7.70000000               X  6.41547870e7       -1.00000000e-3              -4.75516289         -1.00000000e-3              -58.2350000         -1.00000000e-3              -60.1830000         
 9.0  0.0                 20.90722906740954   1.00000000                  0.0                 1.00000000e-1            X -4.03830462e7       -8.01000000e-1            X  8.07660906e7       -7.80000000               X  8.07660916e7       -1.00000000e-3              -4.69732563         -1.00000000e-3              -58.4350000         -1.00000000e-3              -60.3830000         
 10.0 0.0                 21.007229067409536  1.00000000                  0.0                 1.00000000e-1            X -5.08392431e7       -9.01000000e-1            X  1.01678484e8       -7.90000000               X  1.01678485e8       -1.00000000e-3              -4.64629346         -1.00000000e-3              -58.6350000         -1.00000000e-3              -60.5830000         
