NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_res             pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             4.10000000e-2                                   1.00000000e-10     

 1.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -15.0000000               X  4.08740445e-17     -15.0000000               X  2.68190336e-16     
 2.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.9590000               X  4.49208136e-17     -15.0000000               X  2.68190336e-16     
 3.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.9180000               X  4.93682365e-17     -15.0000000               X  2.68190336e-16     
 4.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.8770000               X  5.42559802e-17     -15.0000000               X  2.68190336e-16     
 5.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.8360000               X  5.96276390e-17     -15.0000000               X  2.68190336e-16     
 6.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.7950000               X  6.55311235e-17     -15.0000000               X  2.68190336e-16     
 7.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.7540000               X  7.20190874e-17     -15.0000000               X  2.68190336e-16     
 8.0  0.0                 11.612783856719735  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.7130000               X  7.91493976e-17     -15.0000000               X  2.68190336e-16     
 9.0  0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.6720000               X  8.69856501e-17     -15.0000000               X  2.68190336e-16     
 10.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.6310000               X  9.55977374e-17     -15.0000000               X  2.68190336e-16     
 11.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.5900000               X  1.05062472e-16     -15.0000000               X  2.68190337e-16     
 12.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.5490000               X  1.15464270e-16     -15.0000000               X  2.68190337e-16     
 13.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.5080000               X  1.26895907e-16     -15.0000000               X  2.68190337e-16     
 14.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.4670000               X  1.39459343e-16     -15.0000000               X  2.68190337e-16     
 15.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.4260000               X  1.53266632e-16     -15.0000000               X  2.68190337e-16     
 16.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.3850000               X  1.68440923e-16     -15.0000000               X  2.68190337e-16     
 17.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.3440000               X  1.85117558e-16     -15.0000000               X  2.68190337e-16     
 18.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.3030000               X  2.03445278e-16     -15.0000000               X  2.68190337e-16     
 19.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.2620000               X  2.23587548e-16     -15.0000000               X  2.68190337e-16     
 20.0 0.0                 11.612783856719734  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.2210000               X  2.45724021e-16     -15.0000000               X  2.68190337e-16     
 21.0 0.0                 11.612783856719732  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.1800000               X  2.70052134e-16     -15.0000000               X  2.68190337e-16     
 22.0 0.0                 11.612783856719732  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.1390000               X  2.96788872e-16     -15.0000000               X  2.68190337e-16     
 23.0 0.0                 11.612783856719732  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.0980000               X  3.26172704e-16     -15.0000000               X  2.68190337e-16     
 24.0 0.0                 11.612783856719732  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.0570000               X  3.58465706e-16     -15.0000000               X  2.68190337e-16     
 25.0 0.0                 11.612783856719732  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -14.0160000               X  3.93955904e-16     -15.0000000               X  2.68190337e-16     
 26.0 0.0                 11.61278385671973   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.9750000               X  4.32959839e-16     -15.0000000               X  2.68190337e-16     
 27.0 0.0                 11.61278385671973   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.9340000               X  4.75825392e-16     -15.0000000               X  2.68190338e-16     
 28.0 0.0                 11.61278385671973   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.8930000               X  5.22934884e-16     -15.0000000               X  2.68190338e-16     
 29.0 0.0                 11.61278385671973   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.8520000               X  5.74708491e-16     -15.0000000               X  2.68190338e-16     
 30.0 0.0                 11.612783856719728  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.8110000               X  6.31607988e-16     -15.0000000               X  2.68190338e-16     
 31.0 0.0                 11.612783856719728  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.7700000               X  6.94140867e-16     -15.0000000               X  2.68190338e-16     
 32.0 0.0                 11.612783856719727  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.7290000               X  7.62864866e-16     -15.0000000               X  2.68190338e-16     
 33.0 0.0                 11.612783856719727  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.6880000               X  8.38392942e-16     -15.0000000               X  2.68190338e-16     
 34.0 0.0                 11.612783856719727  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.6470000               X  9.21398739e-16     -15.0000000               X  2.68190338e-16     
 35.0 0.0                 11.612783856719725  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.6060000               X  1.01262259e-15     -15.0000000               X  2.68190338e-16     
 36.0 0.0                 11.612783856719723  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.5650000               X  1.11287814e-15     -15.0000000               X  2.68190338e-16     
 37.0 0.0                 11.612783856719723  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.5240000               X  1.22305958e-15     -15.0000000               X  2.68190338e-16     
 38.0 0.0                 11.612783856719721  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.4830000               X  1.34414962e-15     -15.0000000               X  2.68190338e-16     
 39.0 0.0                 11.61278385671972   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.4420000               X  1.47722828e-15     -15.0000000               X  2.68190338e-16     
 40.0 0.0                 11.612783856719718  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.4010000               X  1.62348251e-15     -15.0000000               X  2.68190338e-16     
 41.0 0.0                 11.612783856719716  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.3600000               X  1.78421676e-15     -15.0000000               X  2.68190338e-16     
 42.0 0.0                 11.612783856719714  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.3190000               X  1.96086463e-15     -15.0000000               X  2.68190338e-16     
 43.0 0.0                 11.612783856719712  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.2780000               X  2.15500168e-15     -15.0000000               X  2.68190339e-16     
 44.0 0.0                 11.61278385671971   2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.2370000               X  2.36835943e-15     -15.0000000               X  2.68190339e-16     
 45.0 0.0                 11.612783856719709  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.1960000               X  2.60284085e-15     -15.0000000               X  2.68190339e-16     
 46.0 0.0                 11.612783856719705  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.1550000               X  2.86053729e-15     -15.0000000               X  2.68190339e-16     
 47.0 0.0                 11.612783856719702  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.1140000               X  3.14374719e-15     -15.0000000               X  2.68190339e-16     
 48.0 0.0                 11.612783856719698  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.0730000               X  3.45499652e-15     -15.0000000               X  2.68190339e-16     
 49.0 0.0                 11.612783856719695  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -13.0320000               X  3.79706135e-15     -15.0000000               X  2.68190339e-16     
 50.0 0.0                 11.612783856719691  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.9910000               X  4.17299259e-15     -15.0000000               X  2.68190339e-16     
 51.0 0.0                 11.612783856719687  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.9500000               X  4.58614323e-15     -15.0000000               X  2.68190339e-16     
 52.0 0.0                 11.612783856719682  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.9090000               X  5.04019819e-15     -15.0000000               X  2.68190339e-16     
 53.0 0.0                 11.612783856719677  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.8680000               X  5.53920724e-15     -15.0000000               X  2.68190339e-16     
 54.0 0.0                 11.612783856719672  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.8270000               X  6.08762110e-15     -15.0000000               X  2.68190339e-16     
 55.0 0.0                 11.612783856719664  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.7860000               X  6.69033114e-15     -15.0000000               X  2.68190339e-16     
 56.0 0.0                 11.612783856719657  2.00000000                  0.0                 7.00000000               X  2.28176141e-8      -12.7450000               X  7.35271299e-15     -15.0000000               X  2.68190339e-16     
