 pH                      	 pressure                	 gasvolume               	 gas_u                   	 gas_res                 	 CO2[g].tot              	 CO2[g].con              	 Ar[g].tot               	 Ar[g].con               	 pressure                	 gasvolume               	 CO2[g].diss             	 CO2[g].liter            	 Calcite[s].si           	 I                       	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 CO3-2.diss              	 CO3-2.tot               	 Ca+2.diss               	 Ca+2.tot                	 Ca+2.diss               	 Calcite[s].tot          	 Calcite[s].con          	 Aragonite[s].con        	
 3.91607021              	 1.00000000              	 10.4332392              	 10.4332392              	 0.0                     	 4.50000000e-1           	 9.76550520e-1           	 1.00000000e-2           	 2.34494802e-2           	 1.00000000              	 10.4332392              	 3.35513155e-2           	 4.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.33960202e-2           	 1.55295132e-4           	 1.26984702e-10          	 3.35513155e-2           	 3.35513155e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91552452              	 1.00000000              	 11.6544488              	 11.6544488              	 0.0                     	 5.00000000e-1           	 9.79007670e-1           	 1.00000000e-2           	 2.09923301e-2           	 1.00000000              	 11.6544488              	 3.36355402e-2           	 5.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.34800497e-2           	 1.55490383e-4           	 1.26984703e-10          	 3.36355402e-2           	 3.36355402e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91508322              	 1.00000000              	 12.8760488              	 12.8760488              	 0.0                     	 5.50000000e-1           	 9.80999293e-1           	 1.00000000e-2           	 1.90007075e-2           	 1.00000000              	 12.8760488              	 3.37038077e-2           	 5.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.35481591e-2           	 1.55648462e-4           	 1.26984703e-10          	 3.37038077e-2           	 3.37038077e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91471900              	 1.00000000              	 14.0979380              	 14.0979380              	 0.0                     	 6.00000000e-1           	 9.82646112e-1           	 1.00000000e-2           	 1.73538880e-2           	 1.00000000              	 14.0979380              	 3.37602561e-2           	 6.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.36044770e-2           	 1.55779052e-4           	 1.26984703e-10          	 3.37602561e-2           	 3.37602561e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91441330              	 1.00000000              	 15.3200472              	 15.3200472              	 0.0                     	 6.50000000e-1           	 9.84030465e-1           	 1.00000000e-2           	 1.59695354e-2           	 1.00000000              	 15.3200472              	 3.38077078e-2           	 6.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.36518190e-2           	 1.55888745e-4           	 1.26984704e-10          	 3.38077078e-2           	 3.38077078e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91415307              	 1.00000000              	 16.5423279              	 16.5423279              	 0.0                     	 7.00000000e-1           	 9.85210423e-1           	 1.00000000e-2           	 1.47895773e-2           	 1.00000000              	 16.5423279              	 3.38481534e-2           	 7.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.36921711e-2           	 1.55982180e-4           	 1.26984704e-10          	 3.38481534e-2           	 3.38481534e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91392888              	 1.00000000              	 17.7647446              	 17.7647446              	 0.0                     	 7.50000000e-1           	 9.86228114e-1           	 1.00000000e-2           	 1.37718859e-2           	 1.00000000              	 17.7647446              	 3.38830369e-2           	 7.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.37269741e-2           	 1.56062722e-4           	 1.26984704e-10          	 3.38830369e-2           	 3.38830369e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91373373              	 1.00000000              	 18.9872712              	 18.9872712              	 0.0                     	 8.00000000e-1           	 9.87114840e-1           	 1.00000000e-2           	 1.28851605e-2           	 1.00000000              	 18.9872712              	 3.39134312e-2           	 8.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.37572983e-2           	 1.56132865e-4           	 1.26984704e-10          	 3.39134312e-2           	 3.39134312e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91356232              	 1.00000000              	 20.2098877              	 20.2098877              	 0.0                     	 8.50000000e-1           	 9.87894340e-1           	 1.00000000e-2           	 1.21056604e-2           	 1.00000000              	 20.2098877              	 3.39401502e-2           	 8.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.37839556e-2           	 1.56194500e-4           	 1.26984704e-10          	 3.39401502e-2           	 3.39401502e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91341057              	 1.00000000              	 21.4325787              	 21.4325787              	 0.0                     	 9.00000000e-1           	 9.88584946e-1           	 1.00000000e-2           	 1.14150537e-2           	 1.00000000              	 21.4325787              	 3.39638221e-2           	 9.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.38075729e-2           	 1.56249086e-4           	 1.26984704e-10          	 3.39638221e-2           	 3.39638221e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91327529              	 1.00000000              	 22.6553323              	 22.6553323              	 0.0                     	 9.50000000e-1           	 9.89201040e-1           	 1.00000000e-2           	 1.07989604e-2           	 1.00000000              	 22.6553323              	 3.39849399e-2           	 9.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.38286420e-2           	 1.56297766e-4           	 1.26984705e-10          	 3.39849399e-2           	 3.39849399e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91315393              	 1.00000000              	 23.8781387              	 23.8781387              	 0.0                     	 1.00000000              	 9.89754057e-1           	 1.00000000e-2           	 1.02459425e-2           	 1.00000000              	 23.8781387              	 3.40038957e-2           	 1.00000000              	 1.11111111e-111         	 1.00000000e-1           	 3.38475541e-2           	 1.56341450e-4           	 1.26984705e-10          	 3.40038957e-2           	 3.40038957e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
