NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_res             pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             1.00000000e-2                                   1.00000000e-1      

 1.0  0.0                 13.0                1.00000000               X  1.00000000          7.00000000               X -4.22980681e-9      -15.0000000               X  4.08740445e-17     -15.0000000               X  2.68190336e-16     
 2.0  0.0                 12.999999999999998  1.99840144e-15           X  1.00000000          7.00000000               X -4.22980686e-9      -14.9900000               X  8.35956182e-32     -14.9000000               X  2.86174256e-16     
 3.0  0.0                 12.999999999999998 -1.00000000               X  1.00000000          7.00000000               X -4.22980692e-9      -14.9800000               X  1.04712855e-35     -14.8000000               X  3.60272043e-16     
 4.0  0.0                 12.999999999999998 -2.00000000               X  1.00000000          7.00000000               X -4.22980700e-9      -14.9700000               X  1.07151931e-35     -14.7000000               X  4.53555630e-16     
 5.0  0.0                 12.999999999999998 -3.00000000               X  1.00000000          7.00000000               X -4.22980710e-9      -14.9600000               X  1.09647820e-35     -14.6000000               X  5.70992708e-16     
 6.0  0.0                 12.999999999999998 -4.00000000               X  1.00000000          7.00000000               X -4.22980723e-9      -14.9500000               X  1.12201845e-35     -14.5000000               X  7.18837230e-16     
 7.0  0.0                 12.999999999999998 -5.00000000               X  1.00000000          7.00000000               X -4.22980738e-9      -14.9400000               X  1.14815362e-35     -14.4000000               X  9.04962456e-16     
 8.0  0.0                 12.999999999999996 -6.00000000               X  1.00000000          7.00000000               X -4.22980758e-9      -14.9300000               X  1.17489755e-35     -14.3000000               X  1.13928023e-15     
 9.0  0.0                 12.999999999999996 -7.00000000               X  1.00000000          7.00000000               X -4.22980783e-9      -14.9200000               X  1.20226443e-35     -14.2000000               X  1.43426884e-15     
 10.0 0.0                 12.999999999999996 -8.00000000               X  1.00000000          7.00000000               X -4.22980815e-9      -14.9100000               X  1.23026877e-35     -14.1000000               X  1.80563748e-15     
 11.0 0.0                 12.999999999999995 -9.00000000               X  1.00000000          7.00000000               X -4.22980855e-9      -14.9000000               X  1.25892541e-35     -14.0000000               X  2.27316291e-15     
 12.0 0.0                 12.999999999999995 -10.0000000               X  1.00000000          7.00000000               X -4.22980905e-9      -14.8900000               X  1.28824955e-35     -13.9000000               X  2.86174256e-15     
 13.0 0.0                 12.999999999999993 -11.0000000               X  1.00000000          7.00000000               X -4.22980968e-9      -14.8800000               X  1.31825674e-35     -13.8000000               X  3.60272043e-15     
 14.0 0.0                 12.999999999999991 -12.0000000               X  1.00000000          7.00000000               X -4.22981047e-9      -14.8700000               X  1.34896288e-35     -13.7000000               X  4.53555630e-15     
 15.0 0.0                 12.99999999999999  -13.0000000               X  1.00000000          7.00000000               X -4.22981147e-9      -14.8600000               X  1.38038426e-35     -13.6000000               X  5.70992708e-15     
