 pH                      	 T                       	 pe                      	 C.tot                   	 C.diss                  	 CO3-2.con               	 HCO3-.con               	 H2CO3.con               	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
 11.2257860              	 2.98150000e2            	 7.00000000              	 0.0                     	 0.0                     	 1.35586017e-2           	 1.71960589e-3           	 2.29955048e-8           	
