@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
   //@PHREEQCOutput: chemistry1.inp

//Var: 	                	 Cl.diss                 	 Pb+2.con                	 Pb2[OH]+3.con           	 Pb4[OH]4+4.con          	 Pb6[OH]8+4.con          	 PbCl+.con               	 PbCl2.con               	 PbCl3-.con              	 PbCl4-2.con             	 Pb[OH]+.con             	 Pb[OH]2.con             	 Pb[OH]3-.con            	 Pb[OH]4-2.con           	

//Var: 	 pH                      	 Pb.tot                  	 Pb.diss                 	 Pb.min                  	 Pb.ads                  	 Pb.SHA_part_l           	 Pb.HFO_part_l           	 Pb.min                  	 Hfo_sOPb+.con           	 Hfo_wOPb+.con           	 Litharge[s].con         	 Massicot[s].con         	 Minium[s].con           	 Pb.con                  	 Pb+2.con                	 Pb2[OH]+3.con           	 Pb4[OH]4+4.con          	 Pb6[OH]8+4.con          	 Pb[OH]+.con             	 Pb[OH]2.con             	 Pb[OH]2[s].con          	 Pb[OH]3-.con            	 Pb[OH]4-2.con           	 Pb[cr][s].con           	 Plattnerite[s].con      	



//@include: chemistry_output.txt

// the data below can be directly pasted into Excel to make graphs
}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Factor:	 1                       	 19000                   	 40078                   	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	 1                       	
Var: 	 pH                      	 F.diss                  	 Ca.diss                 	 H+.tot                  	 CO2[g].tot              	 CO2[g].logact           	 F.tot                   	 Ca.tot                  	 Al.tot                  	 Na.tot                  	 Si.tot                  	 Quartz[s].con           	 Kaolinite[s].con        	 Calcite[s].con          	 Fluorite[s].con         	
Data:	 6.64439142              	 2.17171369              	 1.55577072e2            	-2.00000000              	 1.00721307              	-1.00000000              	 2.00000000              	 2.00000000              	 1.00000000e-12          	 1.00000000e-12          	 1.00000000e-12          	 0.0                     	 0.0                     	 9.96175293e-1           	 9.99942850e-1           	
Data:	 6.64439142              	 2.17171374              	 1.55577072e2            	-2.00000000              	 1.00721307              	-1.00000000              	 2.00000000              	 2.00000000              	 1.00000000e-12          	 1.00000000e-12          	 3.00000000e-12          	 0.0                     	 0.0                     	 9.96175293e-1           	 9.99942850e-1           	
Data:	 6.67429476              	 2.24662443              	 1.44917716e2            	-2.00200000              	 1.00721307              	-1.03075776              	 2.00000000              	 2.00000000              	 5.00000001e-4           	 5.00000001e-4           	 1.50000000e-3           	 8.95091297e-4           	 2.49963069e-4           	 9.96443230e-1           	 9.99940878e-1           	
Data:	 6.70651679              	 2.32639975              	 1.34265067e2            	-2.00400000              	 1.00721307              	-1.06383785              	 2.00000000              	 2.00000000              	 1.00000000e-3           	 1.00000000e-3           	 3.00000000e-3           	 1.89507720e-3           	 4.99967003e-4           	 9.96711127e-1           	 9.99938779e-1           	
Data:	 6.74144203              	 2.41650710              	 1.23620826e2            	-2.00600000              	 1.00721307              	-1.09962812              	 2.00000000              	 2.00000000              	 1.50000000e-3           	 1.50000000e-3           	 4.50000000e-3           	 2.89506260e-3           	 7.49970666e-4           	 9.96979086e-1           	 9.99936408e-1           	
Data:	 6.77955241              	 2.51931118              	 1.12987346e2            	-2.00800000              	 1.00721307              	-1.13861218              	 2.00000000              	 2.00000000              	 2.00000000e-3           	 2.00000000e-3           	 6.00000000e-3           	 3.89504721e-3           	 9.99974044e-4           	 9.97247111e-1           	 9.99933702e-1           	
Data:	 6.82146970              	 2.63800206              	 1.02367645e2            	-2.01000000              	 1.00721307              	-1.18141467              	 2.00000000              	 2.00000000              	 2.50000000e-3           	 2.50000000e-3           	 7.50000000e-3           	 4.89503067e-3           	 1.24997712e-3           	 9.97515211e-1           	 9.99930579e-1           	
Data:	 6.86801486              	 2.77700326              	 91.7656962              	-2.01200000              	 1.00721307              	-1.22886139              	 2.00000000              	 2.00000000              	 3.00000000e-3           	 3.00000000e-3           	 9.00000000e-3           	 5.89501241e-3           	 1.49997987e-3           	 9.97783401e-1           	 9.99926921e-1           	
