pH                       	T                        	Alkalinity.tot           	chargebalance            	HCO3-.tot                	Ca+2.tot                 	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	CO2[g].gas               	CO2[g].logact            	Calcite[s].tot           	Calcite[s].si            	
 7.31828089              	 2.97450000e2            	 0.0                     	 0.0                     	 4.96600000e-3           	 4.11700000e-3           	 2.42989163e-3           	 2.52999341e-3           	 3.45068343e-6           	 7.11725287e-3           	 7.11725287e-3           	-2.14768760              	 1.12715035e-3           	-4.44089210e-16          	
 7.51573010              	 2.87550000e2            	 0.0                     	 0.0                     	 3.38600000e-3           	 3.04400000e-3           	 2.29008547e-3           	 2.32051692e-3           	 3.97225960e-6           	 3.58282866e-3           	 3.58282866e-3           	-2.44577396              	 3.05990647e-4           	-1.33226763e-15          	
 8.24365986              	 2.87550000e2            	 0.0                     	 0.0                     	 5.00000000e-1           	 4.11700000e-3           	 2.70842822e-3           	 3.03097104e-3           	 2.84149641e-5           	 8.69068482e-4           	 8.69068482e-4           	-3.06094600              	 8.05421452e-4           	 4.44089210e-16          	
