Anhydrite[s].si          	Ar[g].logact             	Aragonite[s].si          	CO2[g].con               	CO2[g].logact            	CO3-2.con                	Ca+2.con                 	Ca+2.logact              	Ca+2.tot                 	Calcite[s].si            	Calcite[s].tot           	Calcite[s].un            	Cl-.logact               	Cl-.tot                  	Dolomite[s].si           	F-.logact                	F-.tot                   	Fluorite[s].si           	Gypsum[s].si             	H2O.logact               	HCO3-.con                	HCO3-.logact             	HCO3-.tot                	I                        	K+.logact                	K+.tot                   	Mg+2.logact              	Mg+2.tot                 	Na+.logact               	Na+.tot                  	Node_ID                  	SO4-2.logact             	SO4-2.tot                	T                        	chargebalance            	deltaSIcalcite           	gas_res                  	gas_val_u                	logI                     	minTol                   	pH                       	
-1.48796892              	 0.0                     	-1.95430787e-1           	 4.16869383e-4           	-3.38000000              	 5.11012276e-6           	 1.67362019e-3           	-2.95135372              	 3.04390000e-3           	-4.44089210e-16          	 1.02828374e-3           	 1.02828374e-3           	-3.97888303              	 1.16110000e-4           	-3.49058766e-1           	-4.50120437              	 3.68420000e-5           	-1.40209729              	-1.18510869              	-4.82889093e-5           	 9.05153597e-4           	-3.08558946              	 3.44150000e-3           	 9.83941966e-3           	-3.58307719              	 2.91560000e-4           	-3.29957735              	 8.76180000e-4           	-3.89044667              	 1.43480000e-4           	 1.00000000              	-2.85011653              	 2.56060000e-3           	 2.87550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01662629              	-2.00703052              	 0.0                     	 8.04423154              	
-1.45178317              	 0.0                     	 2.81688038e-1           	 4.16869383e-4           	-3.38000000              	 1.56000883e-5           	 2.23456534e-3           	-2.83491624              	 3.05000000e-3           	 8.88178420e-16          	 4.20263461e-4           	 4.20263461e-4           	-3.98179403              	 1.15940000e-4           	 3.43631325e-1           	-4.49863588              	 3.68420000e-5           	-1.20391235              	-1.07042426              	-6.18201633e-5           	 2.08972313e-3           	-2.72439047              	 3.44260000e-3           	 1.16064926e-2           	-3.58379169              	 2.92310000e-4           	-3.29644400              	 8.87500000e-4           	-3.89315958              	 1.43480000e-4           	 1.00000000              	-2.86141884              	 2.56250000e-3           	 2.73150000e2            	 0.0                     	 5.00000000e-1           	 0.0                     	 1.00655955              	-1.93529900              	 0.0                     	 8.30130920              	
-1.80069503              	 0.0                     	-1.87139630e-1           	 4.16869383e-4           	-3.38000000              	 6.47900132e-6           	 1.08844389e-3           	-3.11299221              	 2.55000000e-3           	-4.44089210e-16          	 1.28916345e-3           	 1.28916345e-3           	-4.05675551              	 9.56520000e-5           	-1.69311936e-1           	-4.63978272              	 2.63160000e-5           	-1.86865282              	-1.52626164              	-3.45237390e-5           	 9.33672570e-4           	-3.06615551              	 3.83610000e-3           	 6.78084634e-3           	-3.79880069              	 1.74360000e-4           	-3.35176838              	 7.08330000e-4           	-4.00364737              	 1.08700000e-4           	 1.00000000              	-3.02618848              	 1.56250000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02345658              	-2.16871610              	 0.0                     	 8.10138574              	
-1.75947919              	 0.0                     	-1.87139630e-1           	 4.16869383e-4           	-3.38000000              	 6.22285217e-6           	 1.14788167e-3           	-3.09268738              	 2.62500000e-3           	 4.44089210e-16          	 1.28869904e-3           	 1.28869904e-3           	-3.98491398              	 1.13040000e-4           	-1.91774591e-1           	-4.56136108              	 3.15790000e-5           	-1.69150472              	-1.48504854              	-3.58993298e-5           	 9.13484350e-4           	-3.07630861              	 3.91800000e-3           	 7.06649236e-3           	-3.76882197              	 1.87180000e-4           	-3.35392621              	 7.12500000e-4           	-3.93999324              	 1.26090000e-4           	 1.00000000              	-3.00527747              	 1.65630000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02345651              	-2.15079611              	 0.0                     	 8.09123401              	
-1.74998624              	 0.0                     	-1.87139630e-1           	 4.16869383e-4           	-3.38000000              	 6.08223360e-6           	 1.17388350e-3           	-3.08286025              	 2.65000000e-3           	 4.44089210e-16          	 1.28374508e-3           	 1.28374508e-3           	-3.99617624              	 1.10140000e-4           	-2.14316007e-1           	-4.56086734              	 3.15790000e-5           	-1.68069009              	-1.47555504              	-3.56215426e-5           	 9.03158957e-4           	-3.08122204              	 3.93440000e-3           	 7.05619240e-3           	-3.79327743              	 1.76920000e-4           	-3.36664049              	 6.91670000e-4           	-4.02215170              	 1.04350000e-4           	 1.00000000              	-3.00561165              	 1.65630000e-3           	 2.93150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02345652              	-2.15142959              	 0.0                     	 8.08632031              	
-1.76658644              	 0.0                     	-1.87867011e-1           	 4.16869383e-4           	-3.38000000              	 6.30210374e-6           	 1.13938141e-3           	-3.09558654              	 2.57500000e-3           	 4.44089210e-16          	 1.25002870e-3           	 1.25002870e-3           	-4.01957146              	 1.04350000e-4           	-1.91838235e-1           	-4.56119326              	 3.15790000e-5           	-1.69163282              	-1.48965936              	-3.58304880e-5           	 9.27810387e-4           	-3.06947308              	 3.88520000e-3           	 7.04535630e-3           	-3.78078665              	 1.82050000e-4           	-3.35072167              	 7.16670000e-4           	-3.92520846              	 1.30430000e-4           	 1.00000000              	-3.00729369              	 1.64580000e-3           	 2.92650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02275669              	-2.15209704              	 0.0                     	 8.09475908              	
-1.75569195              	 0.0                     	-1.91541520e-1           	 4.16869383e-4           	-3.38000000              	 6.19810146e-6           	 1.19940812e-3           	-3.07343422              	 2.60000000e-3           	 4.44089210e-16          	 1.21025516e-3           	 1.21025516e-3           	-3.99615523              	 1.10140000e-4           	-2.59683721e-1           	-4.55979807              	 3.15790000e-5           	-1.65438719              	-1.46615500              	-3.61562939e-5           	 9.63002663e-4           	-3.05334136              	 3.88520000e-3           	 7.12488726e-3           	-3.81249329              	 1.69230000e-4           	-3.36525927              	 6.91670000e-4           	-4.02214159              	 1.04350000e-4           	 1.00000000              	-3.00747886              	 1.64580000e-3           	 2.90150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01953331              	-2.14722200              	 0.0                     	 8.09416801              	
-1.75034069              	 0.0                     	-1.91541520e-1           	 4.16869383e-4           	-3.38000000              	 6.19576617e-6           	 1.20307363e-3           	-3.07268978              	 2.60000000e-3           	 0.0                     	 1.20440032e-3           	 1.20440032e-3           	-4.00784820              	 1.07250000e-4           	-2.53644021e-1           	-4.56022202              	 3.15790000e-5           	-1.65449064              	-1.46080424              	-3.64035601e-5           	 9.62482003e-4           	-3.05371371              	 3.85250000e-3           	 7.18594470e-3           	-3.81928886              	 1.66670000e-4           	-3.35847513              	 7.04170000e-4           	-4.00457327              	 1.08700000e-4           	 1.00000000              	-3.00287205              	 1.66670000e-3           	 2.90150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01953330              	-2.14351613              	 0.0                     	 8.09379591              	
-1.73958820              	 0.0                     	-1.92284033e-1           	 4.16869383e-4           	-3.38000000              	 6.12989779e-6           	 1.22733898e-3           	-3.06453943              	 2.55000000e-3           	 0.0                     	 1.12554862e-3           	 1.12554862e-3           	-3.99643092              	 1.10140000e-4           	-2.79251743e-1           	-4.55977855              	 3.15790000e-5           	-1.64296728              	-1.44750440              	-3.68452648e-5           	 9.65915562e-4           	-3.05229114              	 3.83610000e-3           	 7.25410022e-3           	-3.79352364              	 1.76920000e-4           	-3.36963684              	 6.87500000e-4           	-3.95552675              	 1.21740000e-4           	 1.00000000              	-2.99803244              	 1.68750000e-3           	 2.89650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01894074              	-2.13941645              	 0.0                     	 8.09183966              	
-1.73865543              	 0.0                     	-1.97554283e-1           	 4.16869383e-4           	-3.38000000              	 6.20225204e-6           	 1.27521946e-3           	-3.04817810              	 2.50000000e-3           	 8.88178420e-16          	 1.02683681e-3           	 1.02683681e-3           	-4.00804346              	 1.07250000e-4           	-3.44553367e-1           	-4.55849011              	 3.15790000e-5           	-1.60638328              	-1.42848622              	-3.76060548e-5           	 1.03716144e-3           	-3.02144843              	 3.67210000e-3           	 7.37203747e-3           	-3.81283089              	 1.69230000e-4           	-3.37389155              	 6.79170000e-4           	-3.97142392              	 1.17390000e-4           	 1.00000000              	-2.99757979              	 1.68750000e-3           	 2.86150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01523080              	-2.13241247              	 0.0                     	 8.09869762              	
-1.73627536              	 0.0                     	-1.96793510e-1           	 4.16869383e-4           	-3.38000000              	 6.15411207e-6           	 1.27596783e-3           	-3.04788872              	 2.47500000e-3           	 4.44089210e-16          	 1.00011778e-3           	 1.00011778e-3           	-3.99648704              	 1.10140000e-4           	-3.41189288e-1           	-4.55856412              	 3.15790000e-5           	-1.60878913              	-1.42871673              	-3.74522421e-5           	 1.02343422e-3           	-3.02722621              	 3.60660000e-3           	 7.35551174e-3           	-3.80630899              	 1.71790000e-4           	-3.37668856              	 6.75000000e-4           	-4.00481032              	 1.08700000e-4           	 1.00000000              	-2.99778159              	 1.68750000e-3           	 2.86650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01571651              	-2.13338711              	 0.0                     	 8.09638205              	
-1.73064059              	 0.0                     	-1.96793510e-1           	 4.16869383e-4           	-3.38000000              	 6.14185274e-6           	 1.28252124e-3           	-3.04634330              	 2.42500000e-3           	 4.44089210e-16          	 9.41142207e-4           	 9.41142207e-4           	-3.98536982              	 1.13040000e-4           	-3.30555392e-1           	-4.55919420              	 3.15790000e-5           	-1.60850387              	-1.42308242              	-3.76784732e-5           	 1.02199300e-3           	-3.02799903              	 3.42620000e-3           	 7.42878832e-3           	-3.82639519              	 1.64100000e-4           	-3.36450924              	 6.95830000e-4           	-4.04123056              	 1.00000000e-4           	 1.00000000              	-2.99369224              	 1.70830000e-3           	 2.86650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01571651              	-2.12908202              	 0.0                     	 8.09560945              	
-1.81354675              	 0.0                     	-2.00624146e-1           	 4.16869383e-4           	-3.38000000              	 6.55733232e-6           	 1.21082127e-3           	-3.06534551              	 2.07500000e-3           	-4.44089210e-16          	 6.95281927e-4           	 6.95281927e-4           	-3.94144895              	 1.24640000e-4           	-3.79422743e-1           	-4.55542259              	 3.15790000e-5           	-1.60713716              	-1.49283843              	-3.57663233e-5           	 1.11147423e-3           	-2.99013289              	 3.00000000e-3           	 6.85735678e-3           	-3.86727213              	 1.48720000e-4           	-3.39989947              	 6.25000000e-4           	-4.00328284              	 1.08700000e-4           	 1.00000000              	-3.04605308              	 1.47920000e-3           	 2.84150000e2            	 0.0                     	 0.0                     	 0.0                     	 1.01342262              	-2.16384325              	 0.0                     	 8.11604002              	
-1.73606871              	 0.0                     	 2.81688038e-1           	 4.16869383e-4           	-3.38000000              	 1.77707785e-5           	 1.76373836e-3           	-2.91458539              	 2.07500000e-3           	 0.0                     	 8.90824848e-5           	 8.90824848e-5           	-3.94459745              	 1.24640000e-4           	 3.10536290e-1           	-4.55579318              	 3.15790000e-5           	-1.39789608              	-1.35468375              	-4.87945513e-5           	 2.26191947e-3           	-2.68454938              	 3.00000000e-3           	 8.53545506e-3           	-3.87014313              	 1.48720000e-4           	-3.40920818              	 6.25000000e-4           	-4.00691079              	 1.08700000e-4           	 1.00000000              	-3.06603524              	 1.47920000e-3           	 2.73150000e2            	 0.0                     	 5.00000000e-1           	 0.0                     	 1.00655973              	-2.06877332              	 0.0                     	 8.34113726              	
