T                        	pH                       	pressure                 	chargebalance            	totcharge                	Ar[g].logact             	CO2[g].logact            	HCO3-.logact             	Ca+2.logact              	Calcite[s].si            	Gypsum[s].si             	Na+.tot                  	
 2.91750000e2            	 7.16000000              	 1.12737174              	 1.28440257e-2           	 0.0                     	 1.00000000e-20          	-9.73702341e-1           	-1.59119580              	-2.56923873              	 1.06371084              	-6.48259824e-1           	 1.73989000e-2           	
 2.91750000e2            	 7.16000000              	 1.12737174              	 1.28440257e-2           	 0.0                     	 1.00000000e-20          	-9.73702341e-1           	-1.59119580              	-2.56923873              	 1.06371084              	-6.48259824e-1           	 1.73989000e-2           	
 2.91750000e2            	 7.00000000              	 1.26907614              	-2.08590394e-2           	 0.0                     	 1.00000000e-20          	-6.05641597e-1           	-1.38313505              	-2.92404963              	 7.56960682e-1           	-1.31221890              	 1.91387600e-2           	
