NodeID: 0
 nr   logfactor           convergence         gas_val_u                   gas_res             logI                        I.eq                charge_unknown              chargebalance       Al+3.logact                 Al+3.tot            As.logact                   As.tot              Ca+2.logact                 Ca+2.tot            Cd+2.logact                 Cd+2.tot            Cu+2.logact                 Cu+2.tot            Fe+2.logact                 Fe+2.tot            HCO3-.logact                HCO3-.tot           K+.logact                   K+.tot              Mg+2.logact                 Mg+2.tot            Mn+2.logact                 Mn+2.tot            NH4+.logact                 NH4+.tot            Ni+2.logact                 Ni+2.tot            PO4-3.logact                PO4-3.tot           S-2.logact                  S-2.tot             SO4-2.logact                SO4-2.tot           Si.logact                   Si.tot              Sn+2.logact                 Sn+2.tot            Zn+2.logact                 Zn+2.tot           
                                                                          0.0                                             0.0                                             0.0                                             3.52112670e-6                                   2.89999992e-2                                   4.10000000e2                                    5.96032379e-9                                   1.29425644e-7                                   4.19999981                                      2.60000000e3                                    2.00000000e2                                    1.20000000e2                                    1.00000000                                      3.72318848e2                                    1.49999997e-2                                   7.49261332                                      1.19999997e-1                                   7.69625671e2                                    15.8999996                                      4.14714592e-8                                   2.70000007e-2      
 300  0                   21.1745             1.00000000e-1            X  7.88702598e-2      -2.00000000               X -9.99010447e-1      -1.00000000e-3            X -19.3006543         -9.00000000               X  1.66237091e-4      -9.00000000               X  6.37059543e-5      -3.00000000               X  1.59037016e-3      -9.00000000               X  7.46878473e7       -9.00000000               X  1.64378612e-9      -9.00000000               X  7.82481399e-1      -9.00000000               X  1.46054319e-9      -9.00000000               X  1.10852228e-9      -9.00000000               X  1.63592570e-9      -9.00000000               X  3.14024206e-9      -9.00000000               X  1.11278437e-9      -9.00000000               X  3.49341364e4       -9.00000000               X  1.30233433         -9.00000000               X  1.49445596e8       -9.00000000               X  1.92223850e-9      -9.00000000               X  1.00183016e-9      -9.00000000               X  1.30535436         -9.00000000               X  1.50464888e-9      
 300  -4.83888            21.1745             1.98725440e-1            X  1.77595663e-1      -2.00000000               X -9.99014159e-1       2.12422399e-2            X -19.2483138         -9.00005471               X  1.66619449e-4      -8.99713800               X  6.41271632e-5      -2.00000000               X  1.58648272e-2      -8.99999068               X  7.46867606e7       -10.0000000               X  1.63932169e-10     -8.99995686               X  7.82530951e-1      -8.00000000               X  1.63643969e-8      -8.00000000               X  1.10847769e-8      -8.00000000               X  1.62996942e-8      -8.00000000               X  3.06400135e-8      -8.00000000               X  1.11278437e-8      -8.99999068               X  3.49336281e4       -9.02017706               X  1.30284652         -9.00000782               X  1.49443422e8       -8.00000000               X  5.75237597e-8      -8.00000000               X  1.00183015e-8      -8.97989997               X  1.30534422         -8.00000000               X  1.50464888e-8      
 300  -4.24077            21.1745             5.75900331e-1            X  5.54770180e-1      -2.00000000               X -9.99017205e-1       1.21242240e-1            X -19.1609530         -9.00517005               X  1.66544777e-4      -8.98586836               X  6.58129968e-5      -2.66916124               X  3.42781465e-3      -8.99995374               X  7.46824533e7       -11.0000000               X  1.63961972e-11     -8.99978589               X  7.82727381e-1      -7.00000000               X  1.56005734e-7      -7.00000000               X  1.10863555e-7      -7.00000000               X  1.65095352e-7      -7.00000000               X  3.32656423e-7      -7.00000000               X  1.11278437e-7      -8.99995374               X  3.49316135e4       -8.95297218               X  1.30318693         -9.00003881               X  1.49434803e8       -7.00000000               X  3.10481826e-7      -7.00000000               X  1.00182963e-7      -9.04687503               X  1.30535794         -7.00000000               X  1.50464888e-7      
 300  -4.89221            21.1744             6.64427998e-1            X  6.43294118e-1      -2.00000000               X -9.99018592e-1       1.40440211e-1            X -19.1352369         -9.00615127               X  1.66528367e-4      -8.98341832               X  6.61853254e-5      -2.46149056               X  5.51875279e-3      -8.99994550               X  7.46814923e7       -12.0000000               X  1.64260811e-12     -8.99974775               X  7.82771203e-1      -6.00000000               X  1.59790334e-6      -6.00000000               X  1.10860210e-6      -6.00000000               X  1.64575312e-6      -6.00000000               X  3.26121776e-6      -6.00000000               X  1.11278442e-6      -8.99994550               X  3.49311640e4       -8.96920707               X  1.30314672         -9.00004573               X  1.49432880e8       -6.00000000               X  3.75864527e-6      -6.00000000               X  1.00182965e-6      -9.03069367               X  1.30534556         -6.00000000               X  1.50464888e-6      
 300  -4.17599            21.1744             1.11405600               X  1.09288482         -2.00000000               X -9.99024060e-1       2.40440211e-1            X -19.0200563         -9.01124086               X  1.66438882e-4      -8.97074354               X  6.81453912e-5      -2.36785710               X  6.83633889e-3      -8.99990261               X  7.46764926e7       -13.0000000               X  1.67249349e-13     -8.99954933               X  7.82999196e-1      -5.00000000               X  1.67622792e-5      -5.00000000               X  1.10859808e-5      -5.00000000               X  1.63782880e-5      -7.00000000               X  3.15982438e-7      -5.00000000               X  1.11278447e-5      -8.99990261               X  3.49288254e4       -8.99980059               X  1.30293149         -9.00008171               X  1.49422876e8       -5.00000000               X  4.68995736e-5      -5.00000000               X  1.00183033e-5      -9.00022494               X  1.30527545         -5.47976342               X  4.98507553e-6      
 300  -4.14046            21.1744             1.57919909               X  1.55765490         -2.00000000               X -9.99029305e-1       3.40440211e-1            X -18.9071772         -9.01628081               X  1.66351569e-4      -8.95738482               X  7.02740863e-5      -2.36320643               X  7.05538228e-3      -8.99985607               X  7.46710670e7       -14.0000000               X  1.97141602e-14     -8.99933404               X  7.83246620e-1      -4.00000000               X  1.74475630e-4      -4.00000000               X  1.10921766e-4      -4.00000000               X  1.64659470e-4      -6.00000000               X  3.24730755e-6      -4.00000000               X  1.11278540e-4      -8.99985607               X  3.49262877e4       -9.02647245               X  1.30265119         -9.00012076               X  1.49412020e8       -4.00000000               X  5.31287308e-4      -4.00000000               X  1.00184192e-4      -8.97367808               X  1.30519587         -5.30937626               X  7.38004318e-6      
 300  -4.83887            21.1744             1.66867921               X  1.64340487         -2.00000000               X -9.99031090e-1       3.58893656e-1            X -18.8861648         -9.01720288               X  1.66376287e-4      -8.95479085               X  7.06950776e-5      -2.33057850               X  9.40878294e-3      -8.99984675               X  7.46699805e7       -13.0000000               X  4.96750160e-13     -8.99929094               X  7.83296160e-1      -3.00000000               X  1.77137264e-3      -3.00000000               X  1.11599092e-3      -3.00000000               X  1.81128678e-3      -7.00000000               X  5.08535659e-7      -3.00000000               X  1.11279431e-3      -8.99984675               X  3.49257795e4       -9.03063808               X  1.30273540         -9.00012858               X  1.49409846e8       -3.00000000               X  5.72270204e-3      -3.00000000               X  1.00196278e-3      -8.96953493               X  1.30517737         -5.28632994               X  7.78225090e-6      
 300  -4.88951            21.1744             1.74705680               X  1.68448109         -2.00000000               X -9.99035362e-1       3.75306369e-1            X -18.8770797         -9.01802051               X  1.66378121e-4      -8.95249619               X  7.10695947e-5      -2.30905447               X  1.95296572e-2      -8.99983845               X  7.46690136e7       -14.0000000               X  3.47124808e-13     -8.99925258               X  7.83340247e-1      -2.00000000               X  1.79689142e-2      -2.00000000               X  1.14898404e-2      -2.74987369               X  4.75014204e-3      -6.00000000               X  2.28827114e-5      -2.00000000               X  1.11280208e-2      -8.99983845               X  3.49253273e4       -9.03207469               X  1.30284481         -9.00013554               X  1.49407911e8       -2.26932562               X  3.29143879e-2      -2.91103807               X  1.22980045e-3      -8.96810958               X  1.30516059         -5.26688066               X  8.13868992e-6      
 300  -4.79672            21.1744             1.84235301               X  1.40676349         -2.00000000               X -9.99043009e-1       3.95531254e-1            X -18.9430373         -9.01902521               X  1.66376306e-4      -8.94966994               X  7.15335999e-5      -2.28709027               X  3.32996261e-2      -8.99982818               X  7.46678165e7       -13.0000000               X  3.92622650e-11     -8.99920509               X  7.83394845e-1      -1.00000000               X  1.81756896e-1      -1.88412513               X  1.52064881e-2      -2.66632975               X  8.73853582e-3      -6.53294001               X  5.69727947e-5      -1.76770354               X  1.89983484e-2      -8.99982818               X  3.49247673e4       -9.03033905               X  1.30295008         -9.00014415               X  1.49405516e8       -2.12828911               X  4.78637208e-2      -2.82129260               X  1.51216037e-3      -8.96984528               X  1.30513978         -5.24385356               X  8.58186353e-6      
 300  -4.08445            21.1743             2.30959798               X  1.00680600         -2.00000000               X -9.99071495e-1       4.95531254e-1            X -19.0266126         -9.02398847               X  1.66393235e-4      -8.93519376               X  7.39581889e-5      -2.21867303               X  1.01151259e-1      -8.99977523               X  7.46616447e7       -13.4662248               X  5.84121092e-11     -8.99896025               X  7.83676335e-1      -5.09708800e-1            X  5.91455253e-1      -1.43721015               X  4.69130782e-2      -2.47028209               X  3.10769326e-2      -6.38748602               X  2.43716636e-4      -1.06622640               X  9.55427567e-2      -8.99977523               X  3.49218806e4       -9.01333134               X  1.30352325         -9.00018858               X  1.49393166e8       -1.63327207               X  1.80805262e-1      -2.44500938               X  3.59740893e-3      -8.98682168               X  1.30503860         -5.13126793               X  1.11215990e-5      
 300  -4.02586            21.1743             2.78665712               X  9.04963248e-1      -2.00000000               X -9.99090358e-1       5.95531254e-1            X -19.0475791         -9.02891419               X  1.66381993e-4      -8.91917155               X  7.67376470e-5      -2.17442761               X  1.48958149e-1      -8.99971463               X  7.46545824e7       -13.6066779               X  7.32730396e-11     -8.99868014               X  7.83998444e-1      -3.47837747e-1            X  8.94846704e-1      -1.27879436               X  7.04578200e-2      -2.42654742               X  4.50806039e-2      -6.38027626               X  3.58972482e-4      -9.06630435e-1            X  1.37973323e-1      -8.99971463               X  3.49185773e4       -8.98604527               X  1.30413661         -9.00023942               X  1.49379035e8       -1.51488463               X  2.69171901e-1      -2.26405863               X  5.45791680e-3      -9.01404795               X  1.30493045         -5.03185627               X  1.39823089e-5      
