NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  -2.42892            11.5269            -1.13615525e-1            X -9.54234097e-1      -1.40000000               X  33.6412599         -30.7322238               X  2.44538289e-31     -4.35171918e-1            X  4.84617092e-1      -13.8337900               X  1.98342624e-2      
 300  -2.52687            11.6252            -1.10779026e-1            X -9.63269757e-1      -1.50000000               X  42.1916960         -30.7321941               X  2.44353990e-31     -4.35126191e-1            X  4.84269697e-1      -13.8338489               X  3.14285690e-2      
 300  -2.62523            11.7239            -1.08495947e-1            X -9.70581261e-1      -1.60000000               X  52.9553451         -30.7321703               X  2.44203594e-31     -4.35088908e-1            X  4.83986772e-1      -13.8339234               X  4.97994269e-2      
 300  -2.72391            11.8971            -1.06663117e-1            X -9.76476073e-1      -1.70000000               X  66.5053939         -30.7321515               X  2.44081528e-31     -4.35058669e-1            X  4.83757498e-1      -13.8340175               X  7.89059687e-2      
 300  -2.82286            12.097             -1.05194851e-1            X -9.81214674e-1      -1.80000000               X  83.5634211         -30.7321364               X  2.43982884e-31     -4.35034247e-1            X  4.83572443e-1      -13.8341361               X  1.25018701e-1      
 300  -2.92202            12.2968            -1.04020635e-1            X -9.85014768e-1      -1.90000000               X  1.05037822e2       -30.7321245               X  2.43903447e-31     -4.35014588e-1            X  4.83423560e-1      -13.8342857               X  1.98067167e-1      
 300  -3.02135            12.4966            -1.03082864e-1            X -9.88056391e-1      -2.00000000               X  1.32072181e2       -30.7321149               X  2.43839654e-31     -4.34998806e-1            X  4.83304088e-1      -13.8344743               X  3.13771647e-1      
 300  -3.12081            12.6964            -1.02334745e-1            X -9.90487180e-1      -2.10000000               X  1.66106175e2       -30.7321074               X  2.43788538e-31     -4.34986165e-1            X  4.83208414e-1      -13.8347119               X  4.97013290e-1      
 300  -3.22039            12.8961            -1.01738448e-1            X -9.92427412e-1      -2.20000000               X  2.08952235e2       -30.7321014               X  2.43747652e-31     -4.34976056e-1            X  4.83131924e-1      -13.8350111               X  7.87158775e-1      
 300  -3.32005            13.0957            -1.01263494e-1            X -9.93974559e-1      -2.30000000               X  2.62892070e2       -30.7320966               X  2.43714997e-31     -4.34967983e-1            X  4.83070853e-1      -13.8353878               X  1.24646620         
 300  -3.41978            13.2952            -1.00885401e-1            X -9.95207288e-1      -2.40000000               X  3.30798171e2       -30.7320928               X  2.43688943e-31     -4.34961544e-1            X  4.83022144e-1      -13.8358619               X  1.97334175         
 300  -3.51956            13.4946            -1.00584551e-1            X -9.96188880e-1      -2.50000000               X  4.16286785e2       -30.7320897               X  2.43668176e-31     -4.34956411e-1            X  4.82983326e-1      -13.8364585               X  3.12321970         
